lesson_id,course_id,grade,subject,course_day,unit_number,unit_title,day_in_unit,title,phase,focus,standards
ma-g5-mathematics-u01-l14,ma-g5-mathematics,5,mathematics,14,1,Mathematical Habits and Whole-Number Reasoning,14,Transfer challenge: reading and writing numerical expressions,Transfer challenge,reading and writing numerical expressions,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l15,ma-g5-mathematics,5,mathematics,15,1,Mathematical Habits and Whole-Number Reasoning,15,Assessment preparation: place-value language,Assessment preparation,place-value language,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l16,ma-g5-mathematics,5,mathematics,16,1,Mathematical Habits and Whole-Number Reasoning,16,Unit assessment: estimation and reasonableness,Unit assessment,estimation and reasonableness,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l17,ma-g5-mathematics,5,mathematics,17,1,Mathematical Habits and Whole-Number Reasoning,17,Targeted correction: explaining strategies,Targeted correction,explaining strategies,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l18,ma-g5-mathematics,5,mathematics,18,1,Mathematical Habits and Whole-Number Reasoning,18,"Publication, presentation, or reflection: analyzing errors","Publication, presentation, or reflection",analyzing errors,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u02-l01,ma-g5-mathematics,5,mathematics,19,2,"Place Value, Powers of Ten, and Decimals",1,Launch and diagnostic: powers-of-ten patterns,Launch and diagnostic,powers-of-ten patterns,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l02,ma-g5-mathematics,5,mathematics,20,2,"Place Value, Powers of Ten, and Decimals",2,Concept model A: reading decimals through thousandths,Concept model A,reading decimals through thousandths,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l03,ma-g5-mathematics,5,mathematics,21,2,"Place Value, Powers of Ten, and Decimals",3,Guided practice A: expanded form,Guided practice A,expanded form,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l04,ma-g5-mathematics,5,mathematics,22,2,"Place Value, Powers of Ten, and Decimals",4,Independent application A: comparing decimals,Independent application A,comparing decimals,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l05,ma-g5-mathematics,5,mathematics,23,2,"Place Value, Powers of Ten, and Decimals",5,Concept model B: rounding decimals,Concept model B,rounding decimals,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l06,ma-g5-mathematics,5,mathematics,24,2,"Place Value, Powers of Ten, and Decimals",6,Guided practice B: number lines and place-value charts,Guided practice B,number lines and place-value charts,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l07,ma-g5-mathematics,5,mathematics,25,2,"Place Value, Powers of Ten, and Decimals",7,Investigation or close reading: powers-of-ten patterns,Investigation or close reading,powers-of-ten patterns,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l08,ma-g5-mathematics,5,mathematics,26,2,"Place Value, Powers of Ten, and Decimals",8,Reteach and varied practice: reading decimals through thousandths,Reteach and varied practice,reading decimals through thousandths,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l09,ma-g5-mathematics,5,mathematics,27,2,"Place Value, Powers of Ten, and Decimals",9,Concept model C: expanded form,Concept model C,expanded form,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l10,ma-g5-mathematics,5,mathematics,28,2,"Place Value, Powers of Ten, and Decimals",10,Discussion or problem seminar: comparing decimals,Discussion or problem seminar,comparing decimals,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l11,ma-g5-mathematics,5,mathematics,29,2,"Place Value, Powers of Ten, and Decimals",11,Performance task planning: rounding decimals,Performance task planning,rounding decimals,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l12,ma-g5-mathematics,5,mathematics,30,2,"Place Value, Powers of Ten, and Decimals",12,Performance task build: number lines and place-value charts,Performance task build,number lines and place-value charts,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l13,ma-g5-mathematics,5,mathematics,31,2,"Place Value, Powers of Ten, and Decimals",13,Skill consolidation: powers-of-ten patterns,Skill consolidation,powers-of-ten patterns,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l14,ma-g5-mathematics,5,mathematics,32,2,"Place Value, Powers of Ten, and Decimals",14,Transfer challenge: reading decimals through thousandths,Transfer challenge,reading decimals through thousandths,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l15,ma-g5-mathematics,5,mathematics,33,2,"Place Value, Powers of Ten, and Decimals",15,Assessment preparation: expanded form,Assessment preparation,expanded form,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l16,ma-g5-mathematics,5,mathematics,34,2,"Place Value, Powers of Ten, and Decimals",16,Unit assessment: comparing decimals,Unit assessment,comparing decimals,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l17,ma-g5-mathematics,5,mathematics,35,2,"Place Value, Powers of Ten, and Decimals",17,Targeted correction: rounding decimals,Targeted correction,rounding decimals,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u02-l18,ma-g5-mathematics,5,mathematics,36,2,"Place Value, Powers of Ten, and Decimals",18,"Publication, presentation, or reflection: number lines and place-value charts","Publication, presentation, or reflection",number lines and place-value charts,5.NBT.1;5.NBT.2;5.NBT.3;5.NBT.4
ma-g5-mathematics-u03-l01,ma-g5-mathematics,5,mathematics,37,3,Multi-Digit Multiplication,1,Launch and diagnostic: multiplicative comparison,Launch and diagnostic,multiplicative comparison,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l02,ma-g5-mathematics,5,mathematics,38,3,Multi-Digit Multiplication,2,Concept model A: area models,Concept model A,area models,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l03,ma-g5-mathematics,5,mathematics,39,3,Multi-Digit Multiplication,3,Guided practice A: partial products,Guided practice A,partial products,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l04,ma-g5-mathematics,5,mathematics,40,3,Multi-Digit Multiplication,4,Independent application A: standard multiplication algorithm,Independent application A,standard multiplication algorithm,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l05,ma-g5-mathematics,5,mathematics,41,3,Multi-Digit Multiplication,5,Concept model B: estimation,Concept model B,estimation,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l06,ma-g5-mathematics,5,mathematics,42,3,Multi-Digit Multiplication,6,Guided practice B: multi-step multiplication problems,Guided practice B,multi-step multiplication problems,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l07,ma-g5-mathematics,5,mathematics,43,3,Multi-Digit Multiplication,7,Investigation or close reading: multiplicative comparison,Investigation or close reading,multiplicative comparison,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l08,ma-g5-mathematics,5,mathematics,44,3,Multi-Digit Multiplication,8,Reteach and varied practice: area models,Reteach and varied practice,area models,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l09,ma-g5-mathematics,5,mathematics,45,3,Multi-Digit Multiplication,9,Concept model C: partial products,Concept model C,partial products,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l10,ma-g5-mathematics,5,mathematics,46,3,Multi-Digit Multiplication,10,Discussion or problem seminar: standard multiplication algorithm,Discussion or problem seminar,standard multiplication algorithm,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l11,ma-g5-mathematics,5,mathematics,47,3,Multi-Digit Multiplication,11,Performance task planning: estimation,Performance task planning,estimation,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l12,ma-g5-mathematics,5,mathematics,48,3,Multi-Digit Multiplication,12,Performance task build: multi-step multiplication problems,Performance task build,multi-step multiplication problems,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l13,ma-g5-mathematics,5,mathematics,49,3,Multi-Digit Multiplication,13,Skill consolidation: multiplicative comparison,Skill consolidation,multiplicative comparison,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l14,ma-g5-mathematics,5,mathematics,50,3,Multi-Digit Multiplication,14,Transfer challenge: area models,Transfer challenge,area models,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l15,ma-g5-mathematics,5,mathematics,51,3,Multi-Digit Multiplication,15,Assessment preparation: partial products,Assessment preparation,partial products,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l16,ma-g5-mathematics,5,mathematics,52,3,Multi-Digit Multiplication,16,Unit assessment: standard multiplication algorithm,Unit assessment,standard multiplication algorithm,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l17,ma-g5-mathematics,5,mathematics,53,3,Multi-Digit Multiplication,17,Targeted correction: estimation,Targeted correction,estimation,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u03-l18,ma-g5-mathematics,5,mathematics,54,3,Multi-Digit Multiplication,18,"Publication, presentation, or reflection: multi-step multiplication problems","Publication, presentation, or reflection",multi-step multiplication problems,5.NBT.5;5.OA.1;5.OA.2
ma-g5-mathematics-u04-l01,ma-g5-mathematics,5,mathematics,55,4,Division and Numerical Expressions,1,Launch and diagnostic: division models,Launch and diagnostic,division models,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l02,ma-g5-mathematics,5,mathematics,56,4,Division and Numerical Expressions,2,Concept model A: partial quotients,Concept model A,partial quotients,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l03,ma-g5-mathematics,5,mathematics,57,4,Division and Numerical Expressions,3,Guided practice A: standard division strategies,Guided practice A,standard division strategies,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l04,ma-g5-mathematics,5,mathematics,58,4,Division and Numerical Expressions,4,Independent application A: remainders in context,Independent application A,remainders in context,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l05,ma-g5-mathematics,5,mathematics,59,4,Division and Numerical Expressions,5,Concept model B: parentheses and brackets,Concept model B,parentheses and brackets,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l06,ma-g5-mathematics,5,mathematics,60,4,Division and Numerical Expressions,6,Guided practice B: two-rule numerical patterns,Guided practice B,two-rule numerical patterns,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l07,ma-g5-mathematics,5,mathematics,61,4,Division and Numerical Expressions,7,Investigation or close reading: division models,Investigation or close reading,division models,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l08,ma-g5-mathematics,5,mathematics,62,4,Division and Numerical Expressions,8,Reteach and varied practice: partial quotients,Reteach and varied practice,partial quotients,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l09,ma-g5-mathematics,5,mathematics,63,4,Division and Numerical Expressions,9,Concept model C: standard division strategies,Concept model C,standard division strategies,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l10,ma-g5-mathematics,5,mathematics,64,4,Division and Numerical Expressions,10,Discussion or problem seminar: remainders in context,Discussion or problem seminar,remainders in context,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l11,ma-g5-mathematics,5,mathematics,65,4,Division and Numerical Expressions,11,Performance task planning: parentheses and brackets,Performance task planning,parentheses and brackets,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l12,ma-g5-mathematics,5,mathematics,66,4,Division and Numerical Expressions,12,Performance task build: two-rule numerical patterns,Performance task build,two-rule numerical patterns,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l13,ma-g5-mathematics,5,mathematics,67,4,Division and Numerical Expressions,13,Skill consolidation: division models,Skill consolidation,division models,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l14,ma-g5-mathematics,5,mathematics,68,4,Division and Numerical Expressions,14,Transfer challenge: partial quotients,Transfer challenge,partial quotients,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l15,ma-g5-mathematics,5,mathematics,69,4,Division and Numerical Expressions,15,Assessment preparation: standard division strategies,Assessment preparation,standard division strategies,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l16,ma-g5-mathematics,5,mathematics,70,4,Division and Numerical Expressions,16,Unit assessment: remainders in context,Unit assessment,remainders in context,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l17,ma-g5-mathematics,5,mathematics,71,4,Division and Numerical Expressions,17,Targeted correction: parentheses and brackets,Targeted correction,parentheses and brackets,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u04-l18,ma-g5-mathematics,5,mathematics,72,4,Division and Numerical Expressions,18,"Publication, presentation, or reflection: two-rule numerical patterns","Publication, presentation, or reflection",two-rule numerical patterns,5.NBT.6;5.OA.1;5.OA.2;5.OA.3
ma-g5-mathematics-u05-l01,ma-g5-mathematics,5,mathematics,73,5,Adding and Subtracting Fractions,1,Launch and diagnostic: fraction equivalence,Launch and diagnostic,fraction equivalence,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l02,ma-g5-mathematics,5,mathematics,74,5,Adding and Subtracting Fractions,2,Concept model A: benchmark fractions,Concept model A,benchmark fractions,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l03,ma-g5-mathematics,5,mathematics,75,5,Adding and Subtracting Fractions,3,Guided practice A: common denominators,Guided practice A,common denominators,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l04,ma-g5-mathematics,5,mathematics,76,5,Adding and Subtracting Fractions,4,Independent application A: adding unlike fractions,Independent application A,adding unlike fractions,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l05,ma-g5-mathematics,5,mathematics,77,5,Adding and Subtracting Fractions,5,Concept model B: subtracting unlike fractions,Concept model B,subtracting unlike fractions,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l06,ma-g5-mathematics,5,mathematics,78,5,Adding and Subtracting Fractions,6,Guided practice B: mixed-number problem solving,Guided practice B,mixed-number problem solving,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l07,ma-g5-mathematics,5,mathematics,79,5,Adding and Subtracting Fractions,7,Investigation or close reading: fraction equivalence,Investigation or close reading,fraction equivalence,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l08,ma-g5-mathematics,5,mathematics,80,5,Adding and Subtracting Fractions,8,Reteach and varied practice: benchmark fractions,Reteach and varied practice,benchmark fractions,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l09,ma-g5-mathematics,5,mathematics,81,5,Adding and Subtracting Fractions,9,Concept model C: common denominators,Concept model C,common denominators,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l10,ma-g5-mathematics,5,mathematics,82,5,Adding and Subtracting Fractions,10,Discussion or problem seminar: adding unlike fractions,Discussion or problem seminar,adding unlike fractions,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l11,ma-g5-mathematics,5,mathematics,83,5,Adding and Subtracting Fractions,11,Performance task planning: subtracting unlike fractions,Performance task planning,subtracting unlike fractions,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l12,ma-g5-mathematics,5,mathematics,84,5,Adding and Subtracting Fractions,12,Performance task build: mixed-number problem solving,Performance task build,mixed-number problem solving,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l13,ma-g5-mathematics,5,mathematics,85,5,Adding and Subtracting Fractions,13,Skill consolidation: fraction equivalence,Skill consolidation,fraction equivalence,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l14,ma-g5-mathematics,5,mathematics,86,5,Adding and Subtracting Fractions,14,Transfer challenge: benchmark fractions,Transfer challenge,benchmark fractions,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l15,ma-g5-mathematics,5,mathematics,87,5,Adding and Subtracting Fractions,15,Assessment preparation: common denominators,Assessment preparation,common denominators,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l16,ma-g5-mathematics,5,mathematics,88,5,Adding and Subtracting Fractions,16,Unit assessment: adding unlike fractions,Unit assessment,adding unlike fractions,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l17,ma-g5-mathematics,5,mathematics,89,5,Adding and Subtracting Fractions,17,Targeted correction: subtracting unlike fractions,Targeted correction,subtracting unlike fractions,5.NF.1;5.NF.2
ma-g5-mathematics-u05-l18,ma-g5-mathematics,5,mathematics,90,5,Adding and Subtracting Fractions,18,"Publication, presentation, or reflection: mixed-number problem solving","Publication, presentation, or reflection",mixed-number problem solving,5.NF.1;5.NF.2
ma-g5-mathematics-u06-l01,ma-g5-mathematics,5,mathematics,91,6,Multiplying Fractions and Scaling,1,Launch and diagnostic: fractions as division,Launch and diagnostic,fractions as division,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l02,ma-g5-mathematics,5,mathematics,92,6,Multiplying Fractions and Scaling,2,Concept model A: fraction by whole-number multiplication,Concept model A,fraction by whole-number multiplication,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l03,ma-g5-mathematics,5,mathematics,93,6,Multiplying Fractions and Scaling,3,Guided practice A: fraction by fraction area models,Guided practice A,fraction by fraction area models,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l04,ma-g5-mathematics,5,mathematics,94,6,Multiplying Fractions and Scaling,4,Independent application A: scaling and magnitude,Independent application A,scaling and magnitude,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l05,ma-g5-mathematics,5,mathematics,95,6,Multiplying Fractions and Scaling,5,Concept model B: fraction word problems,Concept model B,fraction word problems,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l06,ma-g5-mathematics,5,mathematics,96,6,Multiplying Fractions and Scaling,6,Guided practice B: unit fractions divided by whole numbers,Guided practice B,unit fractions divided by whole numbers,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l07,ma-g5-mathematics,5,mathematics,97,6,Multiplying Fractions and Scaling,7,Investigation or close reading: fractions as division,Investigation or close reading,fractions as division,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l08,ma-g5-mathematics,5,mathematics,98,6,Multiplying Fractions and Scaling,8,Reteach and varied practice: fraction by whole-number multiplication,Reteach and varied practice,fraction by whole-number multiplication,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l09,ma-g5-mathematics,5,mathematics,99,6,Multiplying Fractions and Scaling,9,Concept model C: fraction by fraction area models,Concept model C,fraction by fraction area models,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l10,ma-g5-mathematics,5,mathematics,100,6,Multiplying Fractions and Scaling,10,Discussion or problem seminar: scaling and magnitude,Discussion or problem seminar,scaling and magnitude,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l11,ma-g5-mathematics,5,mathematics,101,6,Multiplying Fractions and Scaling,11,Performance task planning: fraction word problems,Performance task planning,fraction word problems,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l12,ma-g5-mathematics,5,mathematics,102,6,Multiplying Fractions and Scaling,12,Performance task build: unit fractions divided by whole numbers,Performance task build,unit fractions divided by whole numbers,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l13,ma-g5-mathematics,5,mathematics,103,6,Multiplying Fractions and Scaling,13,Skill consolidation: fractions as division,Skill consolidation,fractions as division,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l14,ma-g5-mathematics,5,mathematics,104,6,Multiplying Fractions and Scaling,14,Transfer challenge: fraction by whole-number multiplication,Transfer challenge,fraction by whole-number multiplication,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l15,ma-g5-mathematics,5,mathematics,105,6,Multiplying Fractions and Scaling,15,Assessment preparation: fraction by fraction area models,Assessment preparation,fraction by fraction area models,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l16,ma-g5-mathematics,5,mathematics,106,6,Multiplying Fractions and Scaling,16,Unit assessment: scaling and magnitude,Unit assessment,scaling and magnitude,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l17,ma-g5-mathematics,5,mathematics,107,6,Multiplying Fractions and Scaling,17,Targeted correction: fraction word problems,Targeted correction,fraction word problems,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u06-l18,ma-g5-mathematics,5,mathematics,108,6,Multiplying Fractions and Scaling,18,"Publication, presentation, or reflection: unit fractions divided by whole numbers","Publication, presentation, or reflection",unit fractions divided by whole numbers,5.NF.3;5.NF.4;5.NF.5;5.NF.6;5.NF.7
ma-g5-mathematics-u07-l01,ma-g5-mathematics,5,mathematics,109,7,Decimal Operations,1,Launch and diagnostic: decimal addition,Launch and diagnostic,decimal addition,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l02,ma-g5-mathematics,5,mathematics,110,7,Decimal Operations,2,Concept model A: decimal subtraction,Concept model A,decimal subtraction,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l03,ma-g5-mathematics,5,mathematics,111,7,Decimal Operations,3,Guided practice A: decimal multiplication,Guided practice A,decimal multiplication,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l04,ma-g5-mathematics,5,mathematics,112,7,Decimal Operations,4,Independent application A: decimal division,Independent application A,decimal division,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l05,ma-g5-mathematics,5,mathematics,113,7,Decimal Operations,5,Concept model B: money and measurement contexts,Concept model B,money and measurement contexts,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l06,ma-g5-mathematics,5,mathematics,114,7,Decimal Operations,6,Guided practice B: operation estimation and checking,Guided practice B,operation estimation and checking,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l07,ma-g5-mathematics,5,mathematics,115,7,Decimal Operations,7,Investigation or close reading: decimal addition,Investigation or close reading,decimal addition,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l08,ma-g5-mathematics,5,mathematics,116,7,Decimal Operations,8,Reteach and varied practice: decimal subtraction,Reteach and varied practice,decimal subtraction,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l09,ma-g5-mathematics,5,mathematics,117,7,Decimal Operations,9,Concept model C: decimal multiplication,Concept model C,decimal multiplication,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l10,ma-g5-mathematics,5,mathematics,118,7,Decimal Operations,10,Discussion or problem seminar: decimal division,Discussion or problem seminar,decimal division,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l11,ma-g5-mathematics,5,mathematics,119,7,Decimal Operations,11,Performance task planning: money and measurement contexts,Performance task planning,money and measurement contexts,5.NBT.3;5.NBT.4;5.NBT.7
ma-g5-mathematics-u07-l12,ma-g5-mathematics,5,mathematics,120,7,Decimal Operations,12,Performance task build: operation estimation and checking,Performance task build,operation estimation and checking,5.NBT.3;5.NBT.4;5.NBT.7
