lesson_id,sealed_course_day,integrated_course_day,shift,delivery,treatment
ma-g8-mathematics-u04-l08,62,66,4,required,unchanged content
ma-g8-mathematics-u04-l09,63,67,4,required,unchanged content
ma-g8-mathematics-u04-l10,64,68,4,required,unchanged content
ma-g8-mathematics-u04-l11,65,69,4,required,unchanged content
ma-g8-mathematics-u04-l12,66,70,4,required,unchanged content
ma-g8-mathematics-u04-l13,67,71,4,required,unchanged content
ma-g8-mathematics-u04-l14,68,72,4,required,unchanged content
ma-g8-mathematics-u04-l15,69,73,4,required,unchanged content
ma-g8-mathematics-u04-l16,70,74,4,required,unchanged content
ma-g8-mathematics-u04-l17,71,75,4,required,unchanged content
ma-g8-mathematics-u04-l18,72,76,4,required,unchanged content
ma-g8-mathematics-u05-l01,73,77,4,required,unchanged content
ma-g8-mathematics-u05-l02,74,78,4,required,unchanged content
ma-g8-mathematics-u05-l03,75,79,4,required,unchanged content
ma-g8-mathematics-u05-l04,76,80,4,required,unchanged content
ma-g8-mathematics-u05-l05,77,81,4,required,unchanged content
ma-g8-mathematics-u05-l06,78,82,4,required,unchanged content
ma-g8-mathematics-u05-l07,79,83,4,required,unchanged content
ma-g8-mathematics-u05-l08,80,84,4,required,unchanged content
ma-g8-mathematics-u05-l09,81,85,4,required,unchanged content
ma-g8-mathematics-u05-l10,82,86,4,required,unchanged content
ma-g8-mathematics-u05-l11,83,87,4,required,unchanged content
ma-g8-mathematics-u05-l12,84,88,4,required,unchanged content
ma-g8-mathematics-u05-l13,85,89,4,required,unchanged content
ma-g8-mathematics-u05-l14,86,90,4,required,unchanged content
ma-g8-mathematics-u05-l15,87,91,4,required,unchanged content
ma-g8-mathematics-u05-l16,88,92,4,required,unchanged content
ma-g8-mathematics-u05-l17,89,93,4,required,unchanged content
ma-g8-mathematics-u05-l18,90,94,4,required,unchanged content
ma-g8-mathematics-u06-l01,91,95,4,required,unchanged content
ma-g8-mathematics-u06-l02,92,96,4,required,unchanged content
ma-g8-mathematics-u06-l03,93,97,4,required,unchanged content
ma-g8-mathematics-u06-l04,94,98,4,required,unchanged content
ma-g8-mathematics-u06-l05,95,99,4,required,unchanged content
ma-g8-mathematics-u06-l06,96,100,4,required,unchanged content
ma-g8-mathematics-u06-l07,97,101,4,required,unchanged content
ma-g8-mathematics-u06-l08,98,102,4,required,unchanged content
ma-g8-mathematics-u06-l09,99,103,4,required,unchanged content
ma-g8-mathematics-u06-l10,100,104,4,required,unchanged content
ma-g8-mathematics-u06-l11,101,105,4,required,unchanged content
ma-g8-mathematics-u06-l12,102,106,4,required,unchanged content
ma-g8-mathematics-u06-l13,103,107,4,required,unchanged content
ma-g8-mathematics-u06-l14,104,108,4,required,unchanged content
ma-g8-mathematics-u06-l15,105,109,4,required,unchanged content
ma-g8-mathematics-u06-l16,106,110,4,required,unchanged content
ma-g8-mathematics-u06-l17,107,111,4,required,unchanged content
ma-g8-mathematics-u06-l18,108,112,4,required,unchanged content
ma-g8-mathematics-u07-l01,109,113,4,required,unchanged content
ma-g8-mathematics-u07-l02,110,114,4,required,unchanged content
ma-g8-mathematics-u07-l03,111,115,4,required,unchanged content
ma-g8-mathematics-u07-l04,112,116,4,required,unchanged content
ma-g8-mathematics-u07-l05,113,117,4,required,unchanged content
ma-g8-mathematics-u07-l06,114,118,4,required,unchanged content
ma-g8-mathematics-u07-l07,115,119,4,required,unchanged content
ma-g8-mathematics-u07-l08,116,120,4,required,unchanged content
ma-g8-mathematics-u07-l09,117,121,4,required,unchanged content
ma-g8-mathematics-u07-l10,118,122,4,required,unchanged content
ma-g8-mathematics-u07-l11,119,123,4,required,unchanged content
ma-g8-mathematics-u07-l12,120,124,4,required,unchanged content
ma-g8-mathematics-u07-l13,121,125,4,required,unchanged content
ma-g8-mathematics-u07-l14,122,126,4,required,unchanged content
ma-g8-mathematics-u07-l15,123,127,4,required,unchanged content
ma-g8-mathematics-u07-l16,124,128,4,required,unchanged content
ma-g8-mathematics-u07-l17,125,129,4,required,unchanged content
ma-g8-mathematics-u07-l18,126,130,4,required,unchanged content
ma-g8-mathematics-u08-l01,127,131,4,required,unchanged content
ma-g8-mathematics-u08-l02,128,132,4,required,unchanged content
ma-g8-mathematics-u08-l03,129,133,4,required,unchanged content
ma-g8-mathematics-u08-l04,130,134,4,required,unchanged content
ma-g8-mathematics-u08-l05,131,135,4,required,unchanged content
ma-g8-mathematics-u08-l06,132,136,4,required,unchanged content
ma-g8-mathematics-u08-l07,133,137,4,required,unchanged content
ma-g8-mathematics-u08-l08,134,138,4,required,unchanged content
ma-g8-mathematics-u08-l09,135,139,4,required,unchanged content
ma-g8-mathematics-u08-l10,136,140,4,required,unchanged content
ma-g8-mathematics-u08-l11,137,141,4,required,unchanged content
ma-g8-mathematics-u08-l12,138,142,4,required,unchanged content
ma-g8-mathematics-u08-l13,139,143,4,required,unchanged content
ma-g8-mathematics-u08-l14,140,144,4,required,unchanged content
ma-g8-mathematics-u08-l15,141,145,4,required,unchanged content
ma-g8-mathematics-u08-l16,142,146,4,required,unchanged content
ma-g8-mathematics-u08-l17,143,147,4,required,unchanged content
ma-g8-mathematics-u08-l18,144,148,4,required,unchanged content
ma-g8-mathematics-u09-l01,145,149,4,required,unchanged content
ma-g8-mathematics-u09-l02,146,150,4,required,unchanged content
ma-g8-mathematics-u09-l03,147,151,4,required,unchanged content
ma-g8-mathematics-u09-l04,148,152,4,required,unchanged content
ma-g8-mathematics-u09-l05,149,153,4,required,unchanged content
ma-g8-mathematics-u09-l06,150,154,4,required,unchanged content
ma-g8-mathematics-u09-l07,151,155,4,required,unchanged content
ma-g8-mathematics-u09-l08,152,156,4,required,unchanged content
ma-g8-mathematics-u09-l09,153,157,4,required,unchanged content
ma-g8-mathematics-u09-l10,154,158,4,required,unchanged content
ma-g8-mathematics-u09-l11,155,159,4,required,unchanged content
ma-g8-mathematics-u09-l12,156,160,4,required,unchanged content
ma-g8-mathematics-u09-l13,157,161,4,required,unchanged content
ma-g8-mathematics-u09-l14,158,162,4,required,unchanged content
ma-g8-mathematics-u09-l15,159,163,4,required,unchanged content
ma-g8-mathematics-u09-l16,160,164,4,required,unchanged content
ma-g8-mathematics-u09-l17,161,165,4,required,unchanged content
ma-g8-mathematics-u09-l18,162,166,4,required,unchanged content
ma-g8-mathematics-u10-l01,163,167,4,required,unchanged content
ma-g8-mathematics-u10-l02,164,168,4,required,unchanged content
ma-g8-mathematics-u10-l03,165,169,4,required,unchanged content
ma-g8-mathematics-u10-l04,166,170,4,required,unchanged content
ma-g8-mathematics-u10-l05,167,171,4,required,unchanged content
ma-g8-mathematics-u10-l06,168,172,4,required,unchanged content
ma-g8-mathematics-u10-l07,169,173,4,required,unchanged content
ma-g8-mathematics-u10-l08,170,174,4,required,unchanged content
ma-g8-mathematics-u10-l09,171,175,4,required,unchanged content
ma-g8-mathematics-u10-l10,172,,,reserve,withdrawn from required path; absorbed by ma-g8-mathematics-u10-l11
ma-g8-mathematics-u10-l11,173,176,3,required,unchanged content
ma-g8-mathematics-u10-l12,174,177,3,required,unchanged content
ma-g8-mathematics-u10-l13,175,,,reserve,withdrawn from required path; absorbed by ma-g8-mathematics-u10-l15
ma-g8-mathematics-u10-l14,176,,,reserve,withdrawn from required path; absorbed by ma-g8-mathematics-u10-l15
ma-g8-mathematics-u10-l15,177,178,1,required,unchanged content
ma-g8-mathematics-u10-l16,178,179,1,required,unchanged content
ma-g8-mathematics-u10-l17,179,,,reserve,withdrawn from required path; absorbed by ma-g8-mathematics-u10-l18
ma-g8-mathematics-u10-l18,180,180,0,required,unchanged content
ma-g8-mathematics-u01-l19,,19,,required,added by correction
ma-g8-mathematics-u01-l20,,20,,required,added by correction
ma-g8-mathematics-u01-l21,,21,,required,added by correction
ma-g8-mathematics-u01-l22,,22,,required,added by integration (delivery day for c01 assessment)
