course_day,course_id,lesson_id
75,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l03
76,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l04
77,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l05
78,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l06
79,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l07
80,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l08
81,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l09
82,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l10
83,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l11
84,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l12
85,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l13
86,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l14
87,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l15
88,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l16
89,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l17
90,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l18
91,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l01
92,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l02
93,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l03
94,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l04
95,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l05
96,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l06
97,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l07
98,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l08
99,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l09
100,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l10
101,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l11
102,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l12
103,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l13
104,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l14
105,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l15
106,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l16
107,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l17
108,ma-g10-english-language-arts,ma-g10-english-language-arts-u06-l18
109,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l01
110,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l02
111,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l03
112,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l04
113,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l05
114,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l06
115,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l07
116,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l08
117,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l09
118,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l10
119,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l11
120,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l12
121,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l13
122,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l14
123,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l15
124,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l16
125,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l17
126,ma-g10-english-language-arts,ma-g10-english-language-arts-u07-l18
127,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l01
128,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l02
129,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l03
130,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l04
131,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l05
132,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l06
133,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l07
134,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l08
135,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l09
136,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l10
137,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l11
138,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l12
139,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l13
140,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l14
141,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l15
142,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l16
143,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l17
144,ma-g10-english-language-arts,ma-g10-english-language-arts-u08-l18
145,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l01
146,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l02
147,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l03
148,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l04
149,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l05
150,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l06
151,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l07
152,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l08
153,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l09
154,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l10
155,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l11
156,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l12
157,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l13
158,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l14
159,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l15
160,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l16
161,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l17
162,ma-g10-english-language-arts,ma-g10-english-language-arts-u09-l18
163,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l01
164,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l02
165,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l03
166,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l04
167,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l05
168,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l06
169,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l07
170,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l08
171,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l09
172,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l10
173,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l11
174,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l12
175,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l13
176,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l14
177,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l15
178,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l16
179,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l17
180,ma-g10-english-language-arts,ma-g10-english-language-arts-u10-l18
1,ma-g10-financial-literacy,ma-g10-financial-literacy-u01-l01
2,ma-g10-financial-literacy,ma-g10-financial-literacy-u01-l02
3,ma-g10-financial-literacy,ma-g10-financial-literacy-u01-l03
4,ma-g10-financial-literacy,ma-g10-financial-literacy-u01-l04
5,ma-g10-financial-literacy,ma-g10-financial-literacy-u01-l05
6,ma-g10-financial-literacy,ma-g10-financial-literacy-u01-l06
7,ma-g10-financial-literacy,ma-g10-financial-literacy-u01-l07
8,ma-g10-financial-literacy,ma-g10-financial-literacy-u01-l08
9,ma-g10-financial-literacy,ma-g10-financial-literacy-u01-l09
10,ma-g10-financial-literacy,ma-g10-financial-literacy-u01-l10
11,ma-g10-financial-literacy,ma-g10-financial-literacy-u02-l01
12,ma-g10-financial-literacy,ma-g10-financial-literacy-u02-l02
13,ma-g10-financial-literacy,ma-g10-financial-literacy-u02-l03
14,ma-g10-financial-literacy,ma-g10-financial-literacy-u02-l04
15,ma-g10-financial-literacy,ma-g10-financial-literacy-u02-l05
16,ma-g10-financial-literacy,ma-g10-financial-literacy-u02-l06
17,ma-g10-financial-literacy,ma-g10-financial-literacy-u02-l07
18,ma-g10-financial-literacy,ma-g10-financial-literacy-u02-l08
19,ma-g10-financial-literacy,ma-g10-financial-literacy-u02-l09
20,ma-g10-financial-literacy,ma-g10-financial-literacy-u02-l10
21,ma-g10-financial-literacy,ma-g10-financial-literacy-u03-l01
22,ma-g10-financial-literacy,ma-g10-financial-literacy-u03-l02
23,ma-g10-financial-literacy,ma-g10-financial-literacy-u03-l03
24,ma-g10-financial-literacy,ma-g10-financial-literacy-u03-l04
25,ma-g10-financial-literacy,ma-g10-financial-literacy-u03-l05
26,ma-g10-financial-literacy,ma-g10-financial-literacy-u03-l06
27,ma-g10-financial-literacy,ma-g10-financial-literacy-u03-l07
28,ma-g10-financial-literacy,ma-g10-financial-literacy-u03-l08
29,ma-g10-financial-literacy,ma-g10-financial-literacy-u03-l09
30,ma-g10-financial-literacy,ma-g10-financial-literacy-u03-l10
31,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l01
32,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l02
33,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l03
34,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l04
35,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l05
36,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l06
37,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l07
38,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l08
39,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l09
40,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l10
41,ma-g10-financial-literacy,ma-g10-financial-literacy-u04-l11
42,ma-g10-financial-literacy,ma-g10-financial-literacy-u05-l01
43,ma-g10-financial-literacy,ma-g10-financial-literacy-u05-l02
44,ma-g10-financial-literacy,ma-g10-financial-literacy-u05-l03
45,ma-g10-financial-literacy,ma-g10-financial-literacy-u05-l04
46,ma-g10-financial-literacy,ma-g10-financial-literacy-u05-l05
47,ma-g10-financial-literacy,ma-g10-financial-literacy-u05-l06
48,ma-g10-financial-literacy,ma-g10-financial-literacy-u05-l07
49,ma-g10-financial-literacy,ma-g10-financial-literacy-u05-l08
50,ma-g10-financial-literacy,ma-g10-financial-literacy-u05-l09
51,ma-g10-financial-literacy,ma-g10-financial-literacy-u05-l10
52,ma-g10-financial-literacy,ma-g10-financial-literacy-u06-l01
53,ma-g10-financial-literacy,ma-g10-financial-literacy-u06-l02
54,ma-g10-financial-literacy,ma-g10-financial-literacy-u06-l03
55,ma-g10-financial-literacy,ma-g10-financial-literacy-u06-l04
56,ma-g10-financial-literacy,ma-g10-financial-literacy-u06-l05
57,ma-g10-financial-literacy,ma-g10-financial-literacy-u06-l06
58,ma-g10-financial-literacy,ma-g10-financial-literacy-u06-l07
59,ma-g10-financial-literacy,ma-g10-financial-literacy-u06-l08
60,ma-g10-financial-literacy,ma-g10-financial-literacy-u06-l09
61,ma-g10-financial-literacy,ma-g10-financial-literacy-u06-l10
62,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l01
63,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l02
64,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l03
65,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l04
66,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l05
67,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l06
68,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l07
69,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l08
70,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l09
71,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l10
72,ma-g10-financial-literacy,ma-g10-financial-literacy-u07-l11
1,ma-g10-health,ma-g10-health-u01-l01
2,ma-g10-health,ma-g10-health-u01-l02
3,ma-g10-health,ma-g10-health-u01-l03
4,ma-g10-health,ma-g10-health-u01-l04
5,ma-g10-health,ma-g10-health-u01-l05
6,ma-g10-health,ma-g10-health-u01-l06
7,ma-g10-health,ma-g10-health-u02-l01
8,ma-g10-health,ma-g10-health-u02-l02
9,ma-g10-health,ma-g10-health-u02-l03
10,ma-g10-health,ma-g10-health-u02-l04
11,ma-g10-health,ma-g10-health-u02-l05
12,ma-g10-health,ma-g10-health-u02-l06
13,ma-g10-health,ma-g10-health-u03-l01
14,ma-g10-health,ma-g10-health-u03-l02
15,ma-g10-health,ma-g10-health-u03-l03
16,ma-g10-health,ma-g10-health-u03-l04
17,ma-g10-health,ma-g10-health-u03-l05
18,ma-g10-health,ma-g10-health-u03-l06
19,ma-g10-health,ma-g10-health-u04-l01
20,ma-g10-health,ma-g10-health-u04-l02
21,ma-g10-health,ma-g10-health-u04-l03
22,ma-g10-health,ma-g10-health-u04-l04
23,ma-g10-health,ma-g10-health-u04-l05
24,ma-g10-health,ma-g10-health-u04-l06
25,ma-g10-health,ma-g10-health-u05-l01
26,ma-g10-health,ma-g10-health-u05-l02
27,ma-g10-health,ma-g10-health-u05-l03
28,ma-g10-health,ma-g10-health-u05-l04
29,ma-g10-health,ma-g10-health-u05-l05
30,ma-g10-health,ma-g10-health-u05-l06
31,ma-g10-health,ma-g10-health-u06-l01
32,ma-g10-health,ma-g10-health-u06-l02
33,ma-g10-health,ma-g10-health-u06-l03
34,ma-g10-health,ma-g10-health-u06-l04
35,ma-g10-health,ma-g10-health-u06-l05
36,ma-g10-health,ma-g10-health-u06-l06
1,ma-g10-mathematics,ma-g10-mathematics-u01-l01
2,ma-g10-mathematics,ma-g10-mathematics-u01-l02
3,ma-g10-mathematics,ma-g10-mathematics-u01-l03
4,ma-g10-mathematics,ma-g10-mathematics-u01-l04
5,ma-g10-mathematics,ma-g10-mathematics-u01-l05
6,ma-g10-mathematics,ma-g10-mathematics-u01-l06
7,ma-g10-mathematics,ma-g10-mathematics-u01-l07
8,ma-g10-mathematics,ma-g10-mathematics-u01-l08
9,ma-g10-mathematics,ma-g10-mathematics-u01-l09
10,ma-g10-mathematics,ma-g10-mathematics-u01-l10
11,ma-g10-mathematics,ma-g10-mathematics-u01-l11
12,ma-g10-mathematics,ma-g10-mathematics-u01-l12
13,ma-g10-mathematics,ma-g10-mathematics-u01-l13
14,ma-g10-mathematics,ma-g10-mathematics-u01-l14
15,ma-g10-mathematics,ma-g10-mathematics-u01-l15
16,ma-g10-mathematics,ma-g10-mathematics-u01-l16
17,ma-g10-mathematics,ma-g10-mathematics-u01-l17
18,ma-g10-mathematics,ma-g10-mathematics-u01-l18
19,ma-g10-mathematics,ma-g10-mathematics-u02-l01
20,ma-g10-mathematics,ma-g10-mathematics-u02-l02
21,ma-g10-mathematics,ma-g10-mathematics-u02-l03
22,ma-g10-mathematics,ma-g10-mathematics-u02-l04
23,ma-g10-mathematics,ma-g10-mathematics-u02-l05
24,ma-g10-mathematics,ma-g10-mathematics-u02-l06
25,ma-g10-mathematics,ma-g10-mathematics-u02-l07
26,ma-g10-mathematics,ma-g10-mathematics-u02-l08
27,ma-g10-mathematics,ma-g10-mathematics-u02-l09
28,ma-g10-mathematics,ma-g10-mathematics-u02-l10
29,ma-g10-mathematics,ma-g10-mathematics-u02-l11
30,ma-g10-mathematics,ma-g10-mathematics-u02-l12
31,ma-g10-mathematics,ma-g10-mathematics-u02-l13
32,ma-g10-mathematics,ma-g10-mathematics-u02-l14
33,ma-g10-mathematics,ma-g10-mathematics-u02-l15
34,ma-g10-mathematics,ma-g10-mathematics-u02-l16
35,ma-g10-mathematics,ma-g10-mathematics-u02-l17
36,ma-g10-mathematics,ma-g10-mathematics-u02-l18
37,ma-g10-mathematics,ma-g10-mathematics-u03-l01
38,ma-g10-mathematics,ma-g10-mathematics-u03-l02
39,ma-g10-mathematics,ma-g10-mathematics-u03-l03
40,ma-g10-mathematics,ma-g10-mathematics-u03-l04
41,ma-g10-mathematics,ma-g10-mathematics-u03-l05
42,ma-g10-mathematics,ma-g10-mathematics-u03-l06
43,ma-g10-mathematics,ma-g10-mathematics-u03-l07
44,ma-g10-mathematics,ma-g10-mathematics-u03-l08
45,ma-g10-mathematics,ma-g10-mathematics-u03-l09
46,ma-g10-mathematics,ma-g10-mathematics-u03-l10
47,ma-g10-mathematics,ma-g10-mathematics-u03-l11
48,ma-g10-mathematics,ma-g10-mathematics-u03-l12
49,ma-g10-mathematics,ma-g10-mathematics-u03-l13
50,ma-g10-mathematics,ma-g10-mathematics-u03-l14
51,ma-g10-mathematics,ma-g10-mathematics-u03-l15
52,ma-g10-mathematics,ma-g10-mathematics-u03-l16
53,ma-g10-mathematics,ma-g10-mathematics-u03-l17
54,ma-g10-mathematics,ma-g10-mathematics-u03-l18
55,ma-g10-mathematics,ma-g10-mathematics-u04-l01
56,ma-g10-mathematics,ma-g10-mathematics-u04-l02
57,ma-g10-mathematics,ma-g10-mathematics-u04-l03
58,ma-g10-mathematics,ma-g10-mathematics-u04-l04
59,ma-g10-mathematics,ma-g10-mathematics-u04-l05
60,ma-g10-mathematics,ma-g10-mathematics-u04-l06
61,ma-g10-mathematics,ma-g10-mathematics-u04-l07
62,ma-g10-mathematics,ma-g10-mathematics-u04-l08
63,ma-g10-mathematics,ma-g10-mathematics-u04-l09
64,ma-g10-mathematics,ma-g10-mathematics-u04-l10
65,ma-g10-mathematics,ma-g10-mathematics-u04-l11
66,ma-g10-mathematics,ma-g10-mathematics-u04-l12
67,ma-g10-mathematics,ma-g10-mathematics-u04-l13
68,ma-g10-mathematics,ma-g10-mathematics-u04-l14
69,ma-g10-mathematics,ma-g10-mathematics-u04-l15
