week,day_of_week,course_day,lesson_id,unit_number,unit_title,phase,evidence_type,standards
3,Thursday,14,ma-g4-mathematics-u01-l14,1,Mathematical Habits and Place Value to One Million,Performance task: build,project,4.NBT.1;4.NBT.2;4.NBT.3
3,Friday,15,ma-g4-mathematics-u01-l15,1,Mathematical Habits and Place Value to One Million,Synthesis and review,retrieval,4.NBT.1;4.NBT.2;4.NBT.3
4,Monday,16,ma-g4-mathematics-u01-l16,1,Mathematical Habits and Place Value to One Million,Unit assessment,assessment,4.NBT.1;4.NBT.2;4.NBT.3
4,Tuesday,17,ma-g4-mathematics-u01-l17,1,Mathematical Habits and Place Value to One Million,Targeted correction and reassessment,reassessment,4.NBT.2;4.NBT.3
4,Wednesday,18,ma-g4-mathematics-u01-l18,1,Mathematical Habits and Place Value to One Million,"Transfer, reflection, and publication",independent-evidence,4.NBT.3;MP.4
4,Thursday,19,ma-g4-mathematics-u02-l01,2,Multi-Digit Addition and Subtraction,Launch and diagnostic,instruction,4.NBT.4;MP.1
4,Friday,20,ma-g4-mathematics-u02-l02,2,Multi-Digit Addition and Subtraction,Concept build A,instruction,4.NBT.4
5,Monday,21,ma-g4-mathematics-u02-l03,2,Multi-Digit Addition and Subtraction,Concept build B,instruction,4.NBT.1;4.NBT.4
5,Tuesday,22,ma-g4-mathematics-u02-l04,2,Multi-Digit Addition and Subtraction,Guided practice A,guided-practice,4.NBT.4
5,Wednesday,23,ma-g4-mathematics-u02-l05,2,Multi-Digit Addition and Subtraction,Independent evidence A,independent-evidence,4.NBT.4
5,Thursday,24,ma-g4-mathematics-u02-l06,2,Multi-Digit Addition and Subtraction,Concept build C,instruction,4.NBT.4
5,Friday,25,ma-g4-mathematics-u02-l07,2,Multi-Digit Addition and Subtraction,Guided practice B,guided-practice,4.NBT.4
6,Monday,26,ma-g4-mathematics-u02-l08,2,Multi-Digit Addition and Subtraction,Error analysis and repair,guided-practice,4.NBT.4;MP.3
6,Tuesday,27,ma-g4-mathematics-u02-l09,2,Multi-Digit Addition and Subtraction,Retrieval and fluency,retrieval,4.NBT.4
6,Wednesday,28,ma-g4-mathematics-u02-l10,2,Multi-Digit Addition and Subtraction,Independent evidence B,independent-evidence,4.NBT.4
6,Thursday,29,ma-g4-mathematics-u02-l11,2,Multi-Digit Addition and Subtraction,Concept extension,instruction,4.OA.3
6,Friday,30,ma-g4-mathematics-u02-l12,2,Multi-Digit Addition and Subtraction,Applied problem solving,independent-evidence,4.OA.3;4.NBT.3
7,Monday,31,ma-g4-mathematics-u02-l13,2,Multi-Digit Addition and Subtraction,Performance task: plan,project,4.NBT.4;MP.3
7,Tuesday,32,ma-g4-mathematics-u02-l14,2,Multi-Digit Addition and Subtraction,Performance task: build,project,4.OA.3;4.NBT.4
7,Wednesday,33,ma-g4-mathematics-u02-l15,2,Multi-Digit Addition and Subtraction,Synthesis and review,retrieval,4.OA.3;4.NBT.4
7,Thursday,34,ma-g4-mathematics-u02-l16,2,Multi-Digit Addition and Subtraction,Unit assessment,assessment,4.OA.3;4.NBT.3;4.NBT.4
7,Friday,35,ma-g4-mathematics-u02-l17,2,Multi-Digit Addition and Subtraction,Targeted correction and reassessment,reassessment,4.OA.3;4.NBT.4
8,Monday,36,ma-g4-mathematics-u02-l18,2,Multi-Digit Addition and Subtraction,"Transfer, reflection, and publication",independent-evidence,4.OA.3;MP.4
8,Tuesday,37,ma-g4-mathematics-u03-l01,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Launch and diagnostic,instruction,4.OA.1;MP.1
8,Wednesday,38,ma-g4-mathematics-u03-l02,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Concept build A,instruction,4.OA.1
8,Thursday,39,ma-g4-mathematics-u03-l03,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Concept build B,instruction,4.OA.1
8,Friday,40,ma-g4-mathematics-u03-l04,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Guided practice A,guided-practice,4.OA.2
9,Monday,41,ma-g4-mathematics-u03-l05,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Independent evidence A,independent-evidence,4.OA.2;MP.3
9,Tuesday,42,ma-g4-mathematics-u03-l06,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Concept build C,instruction,4.OA.4
9,Wednesday,43,ma-g4-mathematics-u03-l07,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Guided practice B,guided-practice,4.OA.4
9,Thursday,44,ma-g4-mathematics-u03-l08,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Error analysis and repair,guided-practice,4.OA.2;4.OA.4;MP.3
9,Friday,45,ma-g4-mathematics-u03-l09,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Retrieval and fluency,retrieval,4.OA.4
10,Monday,46,ma-g4-mathematics-u03-l10,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Independent evidence B,independent-evidence,4.OA.4
10,Tuesday,47,ma-g4-mathematics-u03-l11,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Concept extension,instruction,4.OA.5
10,Wednesday,48,ma-g4-mathematics-u03-l12,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Applied problem solving,independent-evidence,4.OA.4;4.OA.5
10,Thursday,49,ma-g4-mathematics-u03-l13,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Performance task: plan,project,4.OA.4;MP.4
10,Friday,50,ma-g4-mathematics-u03-l14,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Performance task: build,project,4.OA.1;4.OA.4
11,Monday,51,ma-g4-mathematics-u03-l15,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Synthesis and review,retrieval,4.OA.1;4.OA.2;4.OA.4
11,Tuesday,52,ma-g4-mathematics-u03-l16,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Unit assessment,assessment,4.OA.1;4.OA.2;4.OA.4
11,Wednesday,53,ma-g4-mathematics-u03-l17,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",Targeted correction and reassessment,reassessment,4.OA.2;4.OA.4
11,Thursday,54,ma-g4-mathematics-u03-l18,3,"Multiplicative Comparison, Factors, Multiples, and Patterns","Transfer, reflection, and publication",independent-evidence,4.OA.1;MP.4
11,Friday,55,ma-g4-mathematics-u04-l01,4,Multi-Digit Multiplication with Area Models and Partial Products,Launch and diagnostic,instruction,4.NBT.5;MP.1
12,Monday,56,ma-g4-mathematics-u04-l02,4,Multi-Digit Multiplication with Area Models and Partial Products,Concept build A,instruction,4.NBT.1;4.NBT.5
12,Tuesday,57,ma-g4-mathematics-u04-l03,4,Multi-Digit Multiplication with Area Models and Partial Products,Concept build B,instruction,4.NBT.5;MP.7
12,Wednesday,58,ma-g4-mathematics-u04-l04,4,Multi-Digit Multiplication with Area Models and Partial Products,Guided practice A,guided-practice,4.NBT.5
12,Thursday,59,ma-g4-mathematics-u04-l05,4,Multi-Digit Multiplication with Area Models and Partial Products,Independent evidence A,independent-evidence,4.NBT.5
12,Friday,60,ma-g4-mathematics-u04-l06,4,Multi-Digit Multiplication with Area Models and Partial Products,Concept build C,instruction,4.NBT.5
13,Monday,61,ma-g4-mathematics-u04-l07,4,Multi-Digit Multiplication with Area Models and Partial Products,Guided practice B,guided-practice,4.NBT.5
13,Tuesday,62,ma-g4-mathematics-u04-l08,4,Multi-Digit Multiplication with Area Models and Partial Products,Error analysis and repair,guided-practice,4.NBT.5;MP.3
13,Wednesday,63,ma-g4-mathematics-u04-l09,4,Multi-Digit Multiplication with Area Models and Partial Products,Retrieval and fluency,retrieval,4.NBT.5
13,Thursday,64,ma-g4-mathematics-u04-l10,4,Multi-Digit Multiplication with Area Models and Partial Products,Independent evidence B,independent-evidence,4.OA.3
13,Friday,65,ma-g4-mathematics-u04-l11,4,Multi-Digit Multiplication with Area Models and Partial Products,Concept extension,instruction,4.OA.2
14,Monday,66,ma-g4-mathematics-u04-l12,4,Multi-Digit Multiplication with Area Models and Partial Products,Applied problem solving,independent-evidence,4.OA.3;4.NBT.5;MP.3
14,Tuesday,67,ma-g4-mathematics-u04-l13,4,Multi-Digit Multiplication with Area Models and Partial Products,Performance task: plan,project,4.NBT.5;MP.4
14,Wednesday,68,ma-g4-mathematics-u04-l14,4,Multi-Digit Multiplication with Area Models and Partial Products,Performance task: build,project,4.OA.3;4.NBT.5
14,Thursday,69,ma-g4-mathematics-u04-l15,4,Multi-Digit Multiplication with Area Models and Partial Products,Synthesis and review,retrieval,4.OA.2;4.OA.3;4.NBT.5
14,Friday,70,ma-g4-mathematics-u04-l16,4,Multi-Digit Multiplication with Area Models and Partial Products,Unit assessment,assessment,4.OA.2;4.OA.3;4.NBT.5
15,Monday,71,ma-g4-mathematics-u04-l17,4,Multi-Digit Multiplication with Area Models and Partial Products,Targeted correction and reassessment,reassessment,4.OA.3;4.NBT.5
15,Tuesday,72,ma-g4-mathematics-u04-l18,4,Multi-Digit Multiplication with Area Models and Partial Products,"Transfer, reflection, and publication",independent-evidence,4.NBT.5;MP.4
15,Wednesday,73,ma-g4-mathematics-u05-l01,5,Division with Remainders,Launch and diagnostic,instruction,4.NBT.6;MP.1
15,Thursday,74,ma-g4-mathematics-u05-l02,5,Division with Remainders,Concept build A,instruction,4.NBT.6
15,Friday,75,ma-g4-mathematics-u05-l03,5,Division with Remainders,Concept build B,instruction,4.NBT.6
16,Monday,76,ma-g4-mathematics-u05-l04,5,Division with Remainders,Guided practice A,guided-practice,4.NBT.6
16,Tuesday,77,ma-g4-mathematics-u05-l05,5,Division with Remainders,Independent evidence A,independent-evidence,4.NBT.6
16,Wednesday,78,ma-g4-mathematics-u05-l06,5,Division with Remainders,Concept build C,instruction,4.OA.3
16,Thursday,79,ma-g4-mathematics-u05-l07,5,Division with Remainders,Guided practice B,guided-practice,4.OA.3
16,Friday,80,ma-g4-mathematics-u05-l08,5,Division with Remainders,Error analysis and repair,guided-practice,4.NBT.6;MP.3
17,Monday,81,ma-g4-mathematics-u05-l09,5,Division with Remainders,Retrieval and fluency,retrieval,4.NBT.6
17,Tuesday,82,ma-g4-mathematics-u05-l10,5,Division with Remainders,Independent evidence B,independent-evidence,4.OA.3
17,Wednesday,83,ma-g4-mathematics-u05-l11,5,Division with Remainders,Concept extension,instruction,4.NBT.6;MP.3
17,Thursday,84,ma-g4-mathematics-u05-l12,5,Division with Remainders,Applied problem solving,independent-evidence,4.OA.3;4.NBT.6
17,Friday,85,ma-g4-mathematics-u05-l13,5,Division with Remainders,Performance task: plan,project,4.OA.3;MP.4
18,Monday,86,ma-g4-mathematics-u05-l14,5,Division with Remainders,Performance task: build,project,4.OA.3;4.NBT.6
18,Tuesday,87,ma-g4-mathematics-u05-l15,5,Division with Remainders,Synthesis and review,retrieval,4.OA.3;4.NBT.6
18,Wednesday,88,ma-g4-mathematics-u05-l16,5,Division with Remainders,Unit assessment,assessment,4.OA.3;4.NBT.6
18,Thursday,89,ma-g4-mathematics-u05-l17,5,Division with Remainders,Targeted correction and reassessment,reassessment,4.OA.3;4.NBT.6
18,Friday,90,ma-g4-mathematics-u05-l18,5,Division with Remainders,"Transfer, reflection, and publication",independent-evidence,4.OA.3;MP.4
19,Monday,91,ma-g4-mathematics-u06-l01,6,Fraction Equivalence and Comparison,Launch and diagnostic,instruction,4.NF.1;MP.1
19,Tuesday,92,ma-g4-mathematics-u06-l02,6,Fraction Equivalence and Comparison,Concept build A,instruction,4.NF.1
19,Wednesday,93,ma-g4-mathematics-u06-l03,6,Fraction Equivalence and Comparison,Concept build B,instruction,4.NF.1
19,Thursday,94,ma-g4-mathematics-u06-l04,6,Fraction Equivalence and Comparison,Guided practice A,guided-practice,4.NF.1
19,Friday,95,ma-g4-mathematics-u06-l05,6,Fraction Equivalence and Comparison,Independent evidence A,independent-evidence,4.NF.1
20,Monday,96,ma-g4-mathematics-u06-l06,6,Fraction Equivalence and Comparison,Concept build C,instruction,4.NF.1
20,Tuesday,97,ma-g4-mathematics-u06-l07,6,Fraction Equivalence and Comparison,Guided practice B,guided-practice,4.NF.2
20,Wednesday,98,ma-g4-mathematics-u06-l08,6,Fraction Equivalence and Comparison,Error analysis and repair,guided-practice,4.NF.2;MP.3
20,Thursday,99,ma-g4-mathematics-u06-l09,6,Fraction Equivalence and Comparison,Retrieval and fluency,retrieval,4.NF.1;4.NF.2
20,Friday,100,ma-g4-mathematics-u06-l10,6,Fraction Equivalence and Comparison,Independent evidence B,independent-evidence,4.NF.2
21,Monday,101,ma-g4-mathematics-u06-l11,6,Fraction Equivalence and Comparison,Concept extension,instruction,4.NF.2;MP.6
21,Tuesday,102,ma-g4-mathematics-u06-l12,6,Fraction Equivalence and Comparison,Applied problem solving,independent-evidence,4.NF.1;4.NF.2;MP.3
21,Wednesday,103,ma-g4-mathematics-u06-l13,6,Fraction Equivalence and Comparison,Performance task: plan,project,4.NF.1;MP.4
21,Thursday,104,ma-g4-mathematics-u06-l14,6,Fraction Equivalence and Comparison,Performance task: build,project,4.NF.1;4.NF.2
21,Friday,105,ma-g4-mathematics-u06-l15,6,Fraction Equivalence and Comparison,Synthesis and review,retrieval,4.NF.1;4.NF.2
22,Monday,106,ma-g4-mathematics-u06-l16,6,Fraction Equivalence and Comparison,Unit assessment,assessment,4.NF.1;4.NF.2
22,Tuesday,107,ma-g4-mathematics-u06-l17,6,Fraction Equivalence and Comparison,Targeted correction and reassessment,reassessment,4.NF.1;4.NF.2
22,Wednesday,108,ma-g4-mathematics-u06-l18,6,Fraction Equivalence and Comparison,"Transfer, reflection, and publication",independent-evidence,4.NF.2;MP.4
22,Thursday,109,ma-g4-mathematics-u07-l01,7,"Adding, Subtracting, and Multiplying Fractions",Launch and diagnostic,instruction,4.NF.3;MP.1
22,Friday,110,ma-g4-mathematics-u07-l02,7,"Adding, Subtracting, and Multiplying Fractions",Concept build A,instruction,4.NF.3
23,Monday,111,ma-g4-mathematics-u07-l03,7,"Adding, Subtracting, and Multiplying Fractions",Concept build B,instruction,4.NF.3
23,Tuesday,112,ma-g4-mathematics-u07-l04,7,"Adding, Subtracting, and Multiplying Fractions",Guided practice A,guided-practice,4.NF.3
23,Wednesday,113,ma-g4-mathematics-u07-l05,7,"Adding, Subtracting, and Multiplying Fractions",Independent evidence A,independent-evidence,4.NF.3
23,Thursday,114,ma-g4-mathematics-u07-l06,7,"Adding, Subtracting, and Multiplying Fractions",Concept build C,instruction,4.NF.3
23,Friday,115,ma-g4-mathematics-u07-l07,7,"Adding, Subtracting, and Multiplying Fractions",Guided practice B,guided-practice,4.NF.4
24,Monday,116,ma-g4-mathematics-u07-l08,7,"Adding, Subtracting, and Multiplying Fractions",Error analysis and repair,guided-practice,4.NF.3;MP.3
24,Tuesday,117,ma-g4-mathematics-u07-l09,7,"Adding, Subtracting, and Multiplying Fractions",Retrieval and fluency,retrieval,4.NF.3
24,Wednesday,118,ma-g4-mathematics-u07-l10,7,"Adding, Subtracting, and Multiplying Fractions",Independent evidence B,independent-evidence,4.NF.4
24,Thursday,119,ma-g4-mathematics-u07-l11,7,"Adding, Subtracting, and Multiplying Fractions",Concept extension,instruction,4.NF.4;4.MD.2
24,Friday,120,ma-g4-mathematics-u07-l12,7,"Adding, Subtracting, and Multiplying Fractions",Applied problem solving,independent-evidence,4.NF.4;MP.3
25,Monday,121,ma-g4-mathematics-u07-l13,7,"Adding, Subtracting, and Multiplying Fractions",Performance task: plan,project,4.NF.3;4.NF.4;MP.4
25,Tuesday,122,ma-g4-mathematics-u07-l14,7,"Adding, Subtracting, and Multiplying Fractions",Performance task: build,project,4.NF.3;4.NF.4
25,Wednesday,123,ma-g4-mathematics-u07-l15,7,"Adding, Subtracting, and Multiplying Fractions",Synthesis and review,retrieval,4.NF.3;4.NF.4
25,Thursday,124,ma-g4-mathematics-u07-l16,7,"Adding, Subtracting, and Multiplying Fractions",Unit assessment,assessment,4.NF.3;4.NF.4
25,Friday,125,ma-g4-mathematics-u07-l17,7,"Adding, Subtracting, and Multiplying Fractions",Targeted correction and reassessment,reassessment,4.NF.3;4.NF.4
26,Monday,126,ma-g4-mathematics-u07-l18,7,"Adding, Subtracting, and Multiplying Fractions","Transfer, reflection, and publication",independent-evidence,4.NF.4;MP.4
26,Tuesday,127,ma-g4-mathematics-u08-l01,8,Decimal Notation and Fraction-Decimal Connections,Launch and diagnostic,instruction,4.NF.6;MP.1
26,Wednesday,128,ma-g4-mathematics-u08-l02,8,Decimal Notation and Fraction-Decimal Connections,Concept build A,instruction,4.NF.5
26,Thursday,129,ma-g4-mathematics-u08-l03,8,Decimal Notation and Fraction-Decimal Connections,Concept build B,instruction,4.NF.5
26,Friday,130,ma-g4-mathematics-u08-l04,8,Decimal Notation and Fraction-Decimal Connections,Guided practice A,guided-practice,4.NF.6
27,Monday,131,ma-g4-mathematics-u08-l05,8,Decimal Notation and Fraction-Decimal Connections,Independent evidence A,independent-evidence,4.NF.6
27,Tuesday,132,ma-g4-mathematics-u08-l06,8,Decimal Notation and Fraction-Decimal Connections,Concept build C,instruction,4.NF.6;4.MD.2
27,Wednesday,133,ma-g4-mathematics-u08-l07,8,Decimal Notation and Fraction-Decimal Connections,Guided practice B,guided-practice,4.NF.7
27,Thursday,134,ma-g4-mathematics-u08-l08,8,Decimal Notation and Fraction-Decimal Connections,Error analysis and repair,guided-practice,4.NF.7;MP.3
27,Friday,135,ma-g4-mathematics-u08-l09,8,Decimal Notation and Fraction-Decimal Connections,Retrieval and fluency,retrieval,4.NF.6
28,Monday,136,ma-g4-mathematics-u08-l10,8,Decimal Notation and Fraction-Decimal Connections,Independent evidence B,independent-evidence,4.NF.7
28,Tuesday,137,ma-g4-mathematics-u08-l11,8,Decimal Notation and Fraction-Decimal Connections,Concept extension,instruction,4.NF.7;MP.6
28,Wednesday,138,ma-g4-mathematics-u08-l12,8,Decimal Notation and Fraction-Decimal Connections,Applied problem solving,independent-evidence,4.NF.5;4.NF.6;4.MD.2
28,Thursday,139,ma-g4-mathematics-u08-l13,8,Decimal Notation and Fraction-Decimal Connections,Performance task: plan,project,4.NF.6;MP.4
28,Friday,140,ma-g4-mathematics-u08-l14,8,Decimal Notation and Fraction-Decimal Connections,Performance task: build,project,4.NF.5;4.NF.6;4.NF.7
29,Monday,141,ma-g4-mathematics-u08-l15,8,Decimal Notation and Fraction-Decimal Connections,Synthesis and review,retrieval,4.NF.5;4.NF.6;4.NF.7
29,Tuesday,142,ma-g4-mathematics-u08-l16,8,Decimal Notation and Fraction-Decimal Connections,Unit assessment,assessment,4.NF.5;4.NF.6;4.NF.7
29,Wednesday,143,ma-g4-mathematics-u08-l17,8,Decimal Notation and Fraction-Decimal Connections,Targeted correction and reassessment,reassessment,4.NF.6;4.NF.7
29,Thursday,144,ma-g4-mathematics-u08-l18,8,Decimal Notation and Fraction-Decimal Connections,"Transfer, reflection, and publication",independent-evidence,4.NF.6;MP.4
29,Friday,145,ma-g4-mathematics-u09-l01,9,"Measurement, Conversion, and Data",Launch and diagnostic,instruction,4.MD.1;MP.1
30,Monday,146,ma-g4-mathematics-u09-l02,9,"Measurement, Conversion, and Data",Concept build A,instruction,4.MD.1;MP.5
30,Tuesday,147,ma-g4-mathematics-u09-l03,9,"Measurement, Conversion, and Data",Concept build B,instruction,4.MD.1
30,Wednesday,148,ma-g4-mathematics-u09-l04,9,"Measurement, Conversion, and Data",Guided practice A,guided-practice,4.MD.1
30,Thursday,149,ma-g4-mathematics-u09-l05,9,"Measurement, Conversion, and Data",Independent evidence A,independent-evidence,4.MD.1
30,Friday,150,ma-g4-mathematics-u09-l06,9,"Measurement, Conversion, and Data",Concept build C,instruction,4.MD.2
31,Monday,151,ma-g4-mathematics-u09-l07,9,"Measurement, Conversion, and Data",Guided practice B,guided-practice,4.MD.3
31,Tuesday,152,ma-g4-mathematics-u09-l08,9,"Measurement, Conversion, and Data",Error analysis and repair,guided-practice,4.MD.1;MP.3
31,Wednesday,153,ma-g4-mathematics-u09-l09,9,"Measurement, Conversion, and Data",Retrieval and fluency,retrieval,4.MD.1;4.MD.3
31,Thursday,154,ma-g4-mathematics-u09-l10,9,"Measurement, Conversion, and Data",Independent evidence B,independent-evidence,4.MD.2
31,Friday,155,ma-g4-mathematics-u09-l11,9,"Measurement, Conversion, and Data",Concept extension,instruction,4.MD.4
32,Monday,156,ma-g4-mathematics-u09-l12,9,"Measurement, Conversion, and Data",Applied problem solving,independent-evidence,4.MD.3;4.MD.4
32,Tuesday,157,ma-g4-mathematics-u09-l13,9,"Measurement, Conversion, and Data",Performance task: plan,project,4.MD.1;4.MD.4;MP.4
32,Wednesday,158,ma-g4-mathematics-u09-l14,9,"Measurement, Conversion, and Data",Performance task: build,project,4.MD.1;4.MD.3;4.MD.4
32,Thursday,159,ma-g4-mathematics-u09-l15,9,"Measurement, Conversion, and Data",Synthesis and review,retrieval,4.MD.1;4.MD.2;4.MD.3;4.MD.4
32,Friday,160,ma-g4-mathematics-u09-l16,9,"Measurement, Conversion, and Data",Unit assessment,assessment,4.MD.1;4.MD.2;4.MD.3;4.MD.4
33,Monday,161,ma-g4-mathematics-u09-l17,9,"Measurement, Conversion, and Data",Targeted correction and reassessment,reassessment,4.MD.1;4.MD.3
33,Tuesday,162,ma-g4-mathematics-u09-l18,9,"Measurement, Conversion, and Data","Transfer, reflection, and publication",independent-evidence,4.MD.2;MP.4
33,Wednesday,163,ma-g4-mathematics-u10-l01,10,"Angles, Geometry, and Integrated Capstone",Launch and diagnostic,instruction,4.MD.5;MP.1
33,Thursday,164,ma-g4-mathematics-u10-l02,10,"Angles, Geometry, and Integrated Capstone",Concept build A,instruction,4.MD.5
33,Friday,165,ma-g4-mathematics-u10-l03,10,"Angles, Geometry, and Integrated Capstone",Concept build B,instruction,4.MD.6;MP.5
34,Monday,166,ma-g4-mathematics-u10-l04,10,"Angles, Geometry, and Integrated Capstone",Guided practice A,guided-practice,4.MD.6
34,Tuesday,167,ma-g4-mathematics-u10-l05,10,"Angles, Geometry, and Integrated Capstone",Independent evidence A,independent-evidence,4.MD.5;4.MD.6
34,Wednesday,168,ma-g4-mathematics-u10-l06,10,"Angles, Geometry, and Integrated Capstone",Concept build C,instruction,4.MD.7
34,Thursday,169,ma-g4-mathematics-u10-l07,10,"Angles, Geometry, and Integrated Capstone",Guided practice B,guided-practice,4.MD.7
34,Friday,170,ma-g4-mathematics-u10-l08,10,"Angles, Geometry, and Integrated Capstone",Error analysis and repair,guided-practice,4.MD.6;MP.3
35,Monday,171,ma-g4-mathematics-u10-l09,10,"Angles, Geometry, and Integrated Capstone",Retrieval and fluency,retrieval,4.MD.5;4.MD.6
35,Tuesday,172,ma-g4-mathematics-u10-l10,10,"Angles, Geometry, and Integrated Capstone",Independent evidence B,independent-evidence,4.MD.7
35,Wednesday,173,ma-g4-mathematics-u10-l11,10,"Angles, Geometry, and Integrated Capstone",Concept extension,instruction,4.G.1;4.G.2;4.G.3
35,Thursday,174,ma-g4-mathematics-u10-l12,10,"Angles, Geometry, and Integrated Capstone",Applied problem solving,independent-evidence,4.G.1;4.G.2;4.G.3
35,Friday,175,ma-g4-mathematics-u10-l13,10,"Angles, Geometry, and Integrated Capstone",Performance task: plan,project,4.G.2;4.G.3;MP.4
36,Monday,176,ma-g4-mathematics-u10-l14,10,"Angles, Geometry, and Integrated Capstone",Performance task: build,project,4.MD.6;4.MD.7;4.G.1;4.G.2
36,Tuesday,177,ma-g4-mathematics-u10-l15,10,"Angles, Geometry, and Integrated Capstone",Synthesis and review,retrieval,4.G.2;4.G.3;MP.3
36,Wednesday,178,ma-g4-mathematics-u10-l16,10,"Angles, Geometry, and Integrated Capstone",Unit assessment,assessment,4.MD.5;4.MD.6;4.MD.7;4.G.1;4.G.2;4.G.3
36,Thursday,179,ma-g4-mathematics-u10-l17,10,"Angles, Geometry, and Integrated Capstone",Targeted correction and reassessment,reassessment,4.MD.6;4.MD.7;4.G.2
36,Friday,180,ma-g4-mathematics-u10-l18,10,"Angles, Geometry, and Integrated Capstone","Transfer, reflection, and publication",independent-evidence,4.OA.5;4.G.3;MP.4
