course_day,week,day_of_week,unit_number,unit_title,day_in_unit,phase,lesson_id
109,22,Thursday,7,"Matrices, Transformations, and Systems",1,Launch and diagnostic,ma-g12-mathematics-u07-l01
110,22,Friday,7,"Matrices, Transformations, and Systems",2,Concept model A,ma-g12-mathematics-u07-l02
111,23,Monday,7,"Matrices, Transformations, and Systems",3,Guided practice A,ma-g12-mathematics-u07-l03
112,23,Tuesday,7,"Matrices, Transformations, and Systems",4,Independent application A,ma-g12-mathematics-u07-l04
113,23,Wednesday,7,"Matrices, Transformations, and Systems",5,Concept model B,ma-g12-mathematics-u07-l05
114,23,Thursday,7,"Matrices, Transformations, and Systems",6,Guided practice B,ma-g12-mathematics-u07-l06
115,23,Friday,7,"Matrices, Transformations, and Systems",7,Investigation or close reading,ma-g12-mathematics-u07-l07
116,24,Monday,7,"Matrices, Transformations, and Systems",8,Reteach and varied practice,ma-g12-mathematics-u07-l08
117,24,Tuesday,7,"Matrices, Transformations, and Systems",9,Concept model C,ma-g12-mathematics-u07-l09
118,24,Wednesday,7,"Matrices, Transformations, and Systems",10,Discussion or problem seminar,ma-g12-mathematics-u07-l10
119,24,Thursday,7,"Matrices, Transformations, and Systems",11,Performance task planning,ma-g12-mathematics-u07-l11
120,24,Friday,7,"Matrices, Transformations, and Systems",12,Performance task build,ma-g12-mathematics-u07-l12
121,25,Monday,7,"Matrices, Transformations, and Systems",13,Skill consolidation,ma-g12-mathematics-u07-l13
122,25,Tuesday,7,"Matrices, Transformations, and Systems",14,Transfer challenge,ma-g12-mathematics-u07-l14
123,25,Wednesday,7,"Matrices, Transformations, and Systems",15,Assessment preparation,ma-g12-mathematics-u07-l15
124,25,Thursday,7,"Matrices, Transformations, and Systems",16,Unit assessment,ma-g12-mathematics-u07-l16
125,25,Friday,7,"Matrices, Transformations, and Systems",17,Targeted correction,ma-g12-mathematics-u07-l17
126,26,Monday,7,"Matrices, Transformations, and Systems",18,"Publication, presentation, or reflection",ma-g12-mathematics-u07-l18
127,26,Tuesday,8,Conic Sections and Volume Arguments,1,Launch and diagnostic,ma-g12-mathematics-u08-l01
128,26,Wednesday,8,Conic Sections and Volume Arguments,2,Concept model A,ma-g12-mathematics-u08-l02
129,26,Thursday,8,Conic Sections and Volume Arguments,3,Guided practice A,ma-g12-mathematics-u08-l03
130,26,Friday,8,Conic Sections and Volume Arguments,4,Independent application A,ma-g12-mathematics-u08-l04
131,27,Monday,8,Conic Sections and Volume Arguments,5,Concept model B,ma-g12-mathematics-u08-l05
132,27,Tuesday,8,Conic Sections and Volume Arguments,6,Guided practice B,ma-g12-mathematics-u08-l06
133,27,Wednesday,8,Conic Sections and Volume Arguments,7,Investigation or close reading,ma-g12-mathematics-u08-l07
134,27,Thursday,8,Conic Sections and Volume Arguments,8,Reteach and varied practice,ma-g12-mathematics-u08-l08
135,27,Friday,8,Conic Sections and Volume Arguments,9,Concept model C,ma-g12-mathematics-u08-l09
136,28,Monday,8,Conic Sections and Volume Arguments,10,Discussion or problem seminar,ma-g12-mathematics-u08-l10
137,28,Tuesday,8,Conic Sections and Volume Arguments,11,Performance task planning,ma-g12-mathematics-u08-l11
138,28,Wednesday,8,Conic Sections and Volume Arguments,12,Performance task build,ma-g12-mathematics-u08-l12
139,28,Thursday,8,Conic Sections and Volume Arguments,13,Skill consolidation,ma-g12-mathematics-u08-l13
140,28,Friday,8,Conic Sections and Volume Arguments,14,Transfer challenge,ma-g12-mathematics-u08-l14
141,29,Monday,8,Conic Sections and Volume Arguments,15,Assessment preparation,ma-g12-mathematics-u08-l15
142,29,Tuesday,8,Conic Sections and Volume Arguments,16,Unit assessment,ma-g12-mathematics-u08-l16
143,29,Wednesday,8,Conic Sections and Volume Arguments,17,Targeted correction,ma-g12-mathematics-u08-l17
144,29,Thursday,8,Conic Sections and Volume Arguments,18,"Publication, presentation, or reflection",ma-g12-mathematics-u08-l18
145,29,Friday,9,Random Variables and Probability Distributions,1,Launch and diagnostic,ma-g12-mathematics-u09-l01
146,30,Monday,9,Random Variables and Probability Distributions,2,Concept model A,ma-g12-mathematics-u09-l02
147,30,Tuesday,9,Random Variables and Probability Distributions,3,Guided practice A,ma-g12-mathematics-u09-l03
148,30,Wednesday,9,Random Variables and Probability Distributions,4,Independent application A,ma-g12-mathematics-u09-l04
149,30,Thursday,9,Random Variables and Probability Distributions,5,Concept model B,ma-g12-mathematics-u09-l05
150,30,Friday,9,Random Variables and Probability Distributions,6,Guided practice B,ma-g12-mathematics-u09-l06
151,31,Monday,9,Random Variables and Probability Distributions,7,Investigation or close reading,ma-g12-mathematics-u09-l07
152,31,Tuesday,9,Random Variables and Probability Distributions,8,Reteach and varied practice,ma-g12-mathematics-u09-l08
153,31,Wednesday,9,Random Variables and Probability Distributions,9,Concept model C,ma-g12-mathematics-u09-l09
154,31,Thursday,9,Random Variables and Probability Distributions,10,Discussion or problem seminar,ma-g12-mathematics-u09-l10
155,31,Friday,9,Random Variables and Probability Distributions,11,Performance task planning,ma-g12-mathematics-u09-l11
156,32,Monday,9,Random Variables and Probability Distributions,12,Performance task build,ma-g12-mathematics-u09-l12
157,32,Tuesday,9,Random Variables and Probability Distributions,13,Skill consolidation,ma-g12-mathematics-u09-l13
158,32,Wednesday,9,Random Variables and Probability Distributions,14,Transfer challenge,ma-g12-mathematics-u09-l14
159,32,Thursday,9,Random Variables and Probability Distributions,15,Assessment preparation,ma-g12-mathematics-u09-l15
160,32,Friday,9,Random Variables and Probability Distributions,16,Unit assessment,ma-g12-mathematics-u09-l16
161,33,Monday,9,Random Variables and Probability Distributions,17,Targeted correction,ma-g12-mathematics-u09-l17
162,33,Tuesday,9,Random Variables and Probability Distributions,18,"Publication, presentation, or reflection",ma-g12-mathematics-u09-l18
163,33,Wednesday,10,Decision Analysis and Expected Value Capstone,1,Launch and diagnostic,ma-g12-mathematics-u10-l01
164,33,Thursday,10,Decision Analysis and Expected Value Capstone,2,Concept model A,ma-g12-mathematics-u10-l02
165,33,Friday,10,Decision Analysis and Expected Value Capstone,3,Guided practice A,ma-g12-mathematics-u10-l03
166,34,Monday,10,Decision Analysis and Expected Value Capstone,4,Independent application A,ma-g12-mathematics-u10-l04
167,34,Tuesday,10,Decision Analysis and Expected Value Capstone,5,Concept model B,ma-g12-mathematics-u10-l05
168,34,Wednesday,10,Decision Analysis and Expected Value Capstone,6,Guided practice B,ma-g12-mathematics-u10-l06
169,34,Thursday,10,Decision Analysis and Expected Value Capstone,7,Investigation or close reading,ma-g12-mathematics-u10-l07
170,34,Friday,10,Decision Analysis and Expected Value Capstone,8,Reteach and varied practice,ma-g12-mathematics-u10-l08
171,35,Monday,10,Decision Analysis and Expected Value Capstone,9,Concept model C,ma-g12-mathematics-u10-l09
172,35,Tuesday,10,Decision Analysis and Expected Value Capstone,10,Discussion or problem seminar,ma-g12-mathematics-u10-l10
173,35,Wednesday,10,Decision Analysis and Expected Value Capstone,11,Performance task planning,ma-g12-mathematics-u10-l11
174,35,Thursday,10,Decision Analysis and Expected Value Capstone,12,Performance task build,ma-g12-mathematics-u10-l12
175,35,Friday,10,Decision Analysis and Expected Value Capstone,13,Skill consolidation,ma-g12-mathematics-u10-l13
176,36,Monday,10,Decision Analysis and Expected Value Capstone,14,Transfer challenge,ma-g12-mathematics-u10-l14
177,36,Tuesday,10,Decision Analysis and Expected Value Capstone,15,Assessment preparation,ma-g12-mathematics-u10-l15
178,36,Wednesday,10,Decision Analysis and Expected Value Capstone,16,Unit assessment,ma-g12-mathematics-u10-l16
179,36,Thursday,10,Decision Analysis and Expected Value Capstone,17,Targeted correction,ma-g12-mathematics-u10-l17
180,36,Friday,10,Decision Analysis and Expected Value Capstone,18,"Publication, presentation, or reflection",ma-g12-mathematics-u10-l18
