course_day,week,day_of_week,unit_number,unit_title,day_in_unit,phase,lesson_id
141,29,Monday,8,Circles,15,Assessment preparation,ma-g10-mathematics-u08-l15
142,29,Tuesday,8,Circles,16,Unit assessment,ma-g10-mathematics-u08-l16
143,29,Wednesday,8,Circles,17,Targeted correction,ma-g10-mathematics-u08-l17
144,29,Thursday,8,Circles,18,"Publication, presentation, or reflection",ma-g10-mathematics-u08-l18
145,29,Friday,9,Coordinate Geometry,1,Launch and diagnostic,ma-g10-mathematics-u09-l01
146,30,Monday,9,Coordinate Geometry,2,Concept model A,ma-g10-mathematics-u09-l02
147,30,Tuesday,9,Coordinate Geometry,3,Guided practice A,ma-g10-mathematics-u09-l03
148,30,Wednesday,9,Coordinate Geometry,4,Independent application A,ma-g10-mathematics-u09-l04
149,30,Thursday,9,Coordinate Geometry,5,Concept model B,ma-g10-mathematics-u09-l05
150,30,Friday,9,Coordinate Geometry,6,Guided practice B,ma-g10-mathematics-u09-l06
151,31,Monday,9,Coordinate Geometry,7,Investigation or close reading,ma-g10-mathematics-u09-l07
152,31,Tuesday,9,Coordinate Geometry,8,Reteach and varied practice,ma-g10-mathematics-u09-l08
153,31,Wednesday,9,Coordinate Geometry,9,Concept model C,ma-g10-mathematics-u09-l09
154,31,Thursday,9,Coordinate Geometry,10,Discussion or problem seminar,ma-g10-mathematics-u09-l10
155,31,Friday,9,Coordinate Geometry,11,Performance task planning,ma-g10-mathematics-u09-l11
156,32,Monday,9,Coordinate Geometry,12,Performance task build,ma-g10-mathematics-u09-l12
157,32,Tuesday,9,Coordinate Geometry,13,Skill consolidation,ma-g10-mathematics-u09-l13
158,32,Wednesday,9,Coordinate Geometry,14,Transfer challenge,ma-g10-mathematics-u09-l14
159,32,Thursday,9,Coordinate Geometry,15,Assessment preparation,ma-g10-mathematics-u09-l15
160,32,Friday,9,Coordinate Geometry,16,Unit assessment,ma-g10-mathematics-u09-l16
161,33,Monday,9,Coordinate Geometry,17,Targeted correction,ma-g10-mathematics-u09-l17
162,33,Tuesday,9,Coordinate Geometry,18,"Publication, presentation, or reflection",ma-g10-mathematics-u09-l18
163,33,Wednesday,10,"Measurement, Modeling, and Design Capstone",1,Launch and diagnostic,ma-g10-mathematics-u10-l01
164,33,Thursday,10,"Measurement, Modeling, and Design Capstone",2,Concept model A,ma-g10-mathematics-u10-l02
165,33,Friday,10,"Measurement, Modeling, and Design Capstone",3,Guided practice A,ma-g10-mathematics-u10-l03
166,34,Monday,10,"Measurement, Modeling, and Design Capstone",4,Independent application A,ma-g10-mathematics-u10-l04
167,34,Tuesday,10,"Measurement, Modeling, and Design Capstone",5,Concept model B,ma-g10-mathematics-u10-l05
168,34,Wednesday,10,"Measurement, Modeling, and Design Capstone",6,Guided practice B,ma-g10-mathematics-u10-l06
169,34,Thursday,10,"Measurement, Modeling, and Design Capstone",7,Investigation or close reading,ma-g10-mathematics-u10-l07
170,34,Friday,10,"Measurement, Modeling, and Design Capstone",8,Reteach and varied practice,ma-g10-mathematics-u10-l08
171,35,Monday,10,"Measurement, Modeling, and Design Capstone",9,Concept model C,ma-g10-mathematics-u10-l09
172,35,Tuesday,10,"Measurement, Modeling, and Design Capstone",10,Discussion or problem seminar,ma-g10-mathematics-u10-l10
173,35,Wednesday,10,"Measurement, Modeling, and Design Capstone",11,Performance task planning,ma-g10-mathematics-u10-l11
174,35,Thursday,10,"Measurement, Modeling, and Design Capstone",12,Performance task build,ma-g10-mathematics-u10-l12
175,35,Friday,10,"Measurement, Modeling, and Design Capstone",13,Skill consolidation,ma-g10-mathematics-u10-l13
176,36,Monday,10,"Measurement, Modeling, and Design Capstone",14,Transfer challenge,ma-g10-mathematics-u10-l14
177,36,Tuesday,10,"Measurement, Modeling, and Design Capstone",15,Assessment preparation,ma-g10-mathematics-u10-l15
178,36,Wednesday,10,"Measurement, Modeling, and Design Capstone",16,Unit assessment,ma-g10-mathematics-u10-l16
179,36,Thursday,10,"Measurement, Modeling, and Design Capstone",17,Targeted correction,ma-g10-mathematics-u10-l17
180,36,Friday,10,"Measurement, Modeling, and Design Capstone",18,"Publication, presentation, or reflection",ma-g10-mathematics-u10-l18
