course_day,week,day_of_week,unit_number,unit_title,day_in_unit,phase,lesson_id
19,4,Thursday,2,Rational and Radical Expressions and Equations,1,Launch and diagnostic,ma-g11-mathematics-u02-l01
20,4,Friday,2,Rational and Radical Expressions and Equations,2,Concept model A,ma-g11-mathematics-u02-l02
21,5,Monday,2,Rational and Radical Expressions and Equations,3,Guided practice A,ma-g11-mathematics-u02-l03
22,5,Tuesday,2,Rational and Radical Expressions and Equations,4,Independent application A,ma-g11-mathematics-u02-l04
23,5,Wednesday,2,Rational and Radical Expressions and Equations,5,Concept model B,ma-g11-mathematics-u02-l05
24,5,Thursday,2,Rational and Radical Expressions and Equations,6,Guided practice B,ma-g11-mathematics-u02-l06
25,5,Friday,2,Rational and Radical Expressions and Equations,7,Investigation or close reading,ma-g11-mathematics-u02-l07
26,6,Monday,2,Rational and Radical Expressions and Equations,8,Reteach and varied practice,ma-g11-mathematics-u02-l08
27,6,Tuesday,2,Rational and Radical Expressions and Equations,9,Concept model C,ma-g11-mathematics-u02-l09
28,6,Wednesday,2,Rational and Radical Expressions and Equations,10,Discussion or problem seminar,ma-g11-mathematics-u02-l10
29,6,Thursday,2,Rational and Radical Expressions and Equations,11,Performance task planning,ma-g11-mathematics-u02-l11
30,6,Friday,2,Rational and Radical Expressions and Equations,12,Performance task build,ma-g11-mathematics-u02-l12
31,7,Monday,2,Rational and Radical Expressions and Equations,13,Skill consolidation,ma-g11-mathematics-u02-l13
32,7,Tuesday,2,Rational and Radical Expressions and Equations,14,Transfer challenge,ma-g11-mathematics-u02-l14
33,7,Wednesday,2,Rational and Radical Expressions and Equations,15,Assessment preparation,ma-g11-mathematics-u02-l15
34,7,Thursday,2,Rational and Radical Expressions and Equations,16,Unit assessment,ma-g11-mathematics-u02-l16
35,7,Friday,2,Rational and Radical Expressions and Equations,17,Targeted correction,ma-g11-mathematics-u02-l17
36,8,Monday,2,Rational and Radical Expressions and Equations,18,"Publication, presentation, or reflection",ma-g11-mathematics-u02-l18
37,8,Tuesday,3,Complex Numbers and Nonlinear Systems,1,Launch and diagnostic,ma-g11-mathematics-u03-l01
38,8,Wednesday,3,Complex Numbers and Nonlinear Systems,2,Concept model A,ma-g11-mathematics-u03-l02
39,8,Thursday,3,Complex Numbers and Nonlinear Systems,3,Guided practice A,ma-g11-mathematics-u03-l03
40,8,Friday,3,Complex Numbers and Nonlinear Systems,4,Independent application A,ma-g11-mathematics-u03-l04
41,9,Monday,3,Complex Numbers and Nonlinear Systems,5,Concept model B,ma-g11-mathematics-u03-l05
42,9,Tuesday,3,Complex Numbers and Nonlinear Systems,6,Guided practice B,ma-g11-mathematics-u03-l06
43,9,Wednesday,3,Complex Numbers and Nonlinear Systems,7,Investigation or close reading,ma-g11-mathematics-u03-l07
44,9,Thursday,3,Complex Numbers and Nonlinear Systems,8,Reteach and varied practice,ma-g11-mathematics-u03-l08
45,9,Friday,3,Complex Numbers and Nonlinear Systems,9,Concept model C,ma-g11-mathematics-u03-l09
46,10,Monday,3,Complex Numbers and Nonlinear Systems,10,Discussion or problem seminar,ma-g11-mathematics-u03-l10
47,10,Tuesday,3,Complex Numbers and Nonlinear Systems,11,Performance task planning,ma-g11-mathematics-u03-l11
48,10,Wednesday,3,Complex Numbers and Nonlinear Systems,12,Performance task build,ma-g11-mathematics-u03-l12
49,10,Thursday,3,Complex Numbers and Nonlinear Systems,13,Skill consolidation,ma-g11-mathematics-u03-l13
50,10,Friday,3,Complex Numbers and Nonlinear Systems,14,Transfer challenge,ma-g11-mathematics-u03-l14
51,11,Monday,3,Complex Numbers and Nonlinear Systems,15,Assessment preparation,ma-g11-mathematics-u03-l15
52,11,Tuesday,3,Complex Numbers and Nonlinear Systems,16,Unit assessment,ma-g11-mathematics-u03-l16
53,11,Wednesday,3,Complex Numbers and Nonlinear Systems,17,Targeted correction,ma-g11-mathematics-u03-l17
54,11,Thursday,3,Complex Numbers and Nonlinear Systems,18,"Publication, presentation, or reflection",ma-g11-mathematics-u03-l18
55,11,Friday,4,"Exponential, Logarithmic, and Series Models",1,Launch and diagnostic,ma-g11-mathematics-u04-l01
56,12,Monday,4,"Exponential, Logarithmic, and Series Models",2,Concept model A,ma-g11-mathematics-u04-l02
57,12,Tuesday,4,"Exponential, Logarithmic, and Series Models",3,Guided practice A,ma-g11-mathematics-u04-l03
58,12,Wednesday,4,"Exponential, Logarithmic, and Series Models",4,Independent application A,ma-g11-mathematics-u04-l04
59,12,Thursday,4,"Exponential, Logarithmic, and Series Models",5,Concept model B,ma-g11-mathematics-u04-l05
60,12,Friday,4,"Exponential, Logarithmic, and Series Models",6,Guided practice B,ma-g11-mathematics-u04-l06
61,13,Monday,4,"Exponential, Logarithmic, and Series Models",7,Investigation or close reading,ma-g11-mathematics-u04-l07
62,13,Tuesday,4,"Exponential, Logarithmic, and Series Models",8,Reteach and varied practice,ma-g11-mathematics-u04-l08
63,13,Wednesday,4,"Exponential, Logarithmic, and Series Models",9,Concept model C,ma-g11-mathematics-u04-l09
64,13,Thursday,4,"Exponential, Logarithmic, and Series Models",10,Discussion or problem seminar,ma-g11-mathematics-u04-l10
65,13,Friday,4,"Exponential, Logarithmic, and Series Models",11,Performance task planning,ma-g11-mathematics-u04-l11
66,14,Monday,4,"Exponential, Logarithmic, and Series Models",12,Performance task build,ma-g11-mathematics-u04-l12
67,14,Tuesday,4,"Exponential, Logarithmic, and Series Models",13,Skill consolidation,ma-g11-mathematics-u04-l13
68,14,Wednesday,4,"Exponential, Logarithmic, and Series Models",14,Transfer challenge,ma-g11-mathematics-u04-l14
69,14,Thursday,4,"Exponential, Logarithmic, and Series Models",15,Assessment preparation,ma-g11-mathematics-u04-l15
70,14,Friday,4,"Exponential, Logarithmic, and Series Models",16,Unit assessment,ma-g11-mathematics-u04-l16
71,15,Monday,4,"Exponential, Logarithmic, and Series Models",17,Targeted correction,ma-g11-mathematics-u04-l17
72,15,Tuesday,4,"Exponential, Logarithmic, and Series Models",18,"Publication, presentation, or reflection",ma-g11-mathematics-u04-l18
73,15,Wednesday,5,Trigonometric Functions and Periodic Models,1,Launch and diagnostic,ma-g11-mathematics-u05-l01
74,15,Thursday,5,Trigonometric Functions and Periodic Models,2,Concept model A,ma-g11-mathematics-u05-l02
75,15,Friday,5,Trigonometric Functions and Periodic Models,3,Guided practice A,ma-g11-mathematics-u05-l03
76,16,Monday,5,Trigonometric Functions and Periodic Models,4,Independent application A,ma-g11-mathematics-u05-l04
77,16,Tuesday,5,Trigonometric Functions and Periodic Models,5,Concept model B,ma-g11-mathematics-u05-l05
78,16,Wednesday,5,Trigonometric Functions and Periodic Models,6,Guided practice B,ma-g11-mathematics-u05-l06
79,16,Thursday,5,Trigonometric Functions and Periodic Models,7,Investigation or close reading,ma-g11-mathematics-u05-l07
80,16,Friday,5,Trigonometric Functions and Periodic Models,8,Reteach and varied practice,ma-g11-mathematics-u05-l08
81,17,Monday,5,Trigonometric Functions and Periodic Models,9,Concept model C,ma-g11-mathematics-u05-l09
82,17,Tuesday,5,Trigonometric Functions and Periodic Models,10,Discussion or problem seminar,ma-g11-mathematics-u05-l10
83,17,Wednesday,5,Trigonometric Functions and Periodic Models,11,Performance task planning,ma-g11-mathematics-u05-l11
84,17,Thursday,5,Trigonometric Functions and Periodic Models,12,Performance task build,ma-g11-mathematics-u05-l12
85,17,Friday,5,Trigonometric Functions and Periodic Models,13,Skill consolidation,ma-g11-mathematics-u05-l13
86,18,Monday,5,Trigonometric Functions and Periodic Models,14,Transfer challenge,ma-g11-mathematics-u05-l14
87,18,Tuesday,5,Trigonometric Functions and Periodic Models,15,Assessment preparation,ma-g11-mathematics-u05-l15
88,18,Wednesday,5,Trigonometric Functions and Periodic Models,16,Unit assessment,ma-g11-mathematics-u05-l16
89,18,Thursday,5,Trigonometric Functions and Periodic Models,17,Targeted correction,ma-g11-mathematics-u05-l17
90,18,Friday,5,Trigonometric Functions and Periodic Models,18,"Publication, presentation, or reflection",ma-g11-mathematics-u05-l18
91,19,Monday,6,Advanced Function Analysis and Graphing,1,Launch and diagnostic,ma-g11-mathematics-u06-l01
92,19,Tuesday,6,Advanced Function Analysis and Graphing,2,Concept model A,ma-g11-mathematics-u06-l02
93,19,Wednesday,6,Advanced Function Analysis and Graphing,3,Guided practice A,ma-g11-mathematics-u06-l03
94,19,Thursday,6,Advanced Function Analysis and Graphing,4,Independent application A,ma-g11-mathematics-u06-l04
95,19,Friday,6,Advanced Function Analysis and Graphing,5,Concept model B,ma-g11-mathematics-u06-l05
96,20,Monday,6,Advanced Function Analysis and Graphing,6,Guided practice B,ma-g11-mathematics-u06-l06
97,20,Tuesday,6,Advanced Function Analysis and Graphing,7,Investigation or close reading,ma-g11-mathematics-u06-l07
98,20,Wednesday,6,Advanced Function Analysis and Graphing,8,Reteach and varied practice,ma-g11-mathematics-u06-l08
99,20,Thursday,6,Advanced Function Analysis and Graphing,9,Concept model C,ma-g11-mathematics-u06-l09
100,20,Friday,6,Advanced Function Analysis and Graphing,10,Discussion or problem seminar,ma-g11-mathematics-u06-l10
101,21,Monday,6,Advanced Function Analysis and Graphing,11,Performance task planning,ma-g11-mathematics-u06-l11
102,21,Tuesday,6,Advanced Function Analysis and Graphing,12,Performance task build,ma-g11-mathematics-u06-l12
103,21,Wednesday,6,Advanced Function Analysis and Graphing,13,Skill consolidation,ma-g11-mathematics-u06-l13
104,21,Thursday,6,Advanced Function Analysis and Graphing,14,Transfer challenge,ma-g11-mathematics-u06-l14
105,21,Friday,6,Advanced Function Analysis and Graphing,15,Assessment preparation,ma-g11-mathematics-u06-l15
106,22,Monday,6,Advanced Function Analysis and Graphing,16,Unit assessment,ma-g11-mathematics-u06-l16
107,22,Tuesday,6,Advanced Function Analysis and Graphing,17,Targeted correction,ma-g11-mathematics-u06-l17
108,22,Wednesday,6,Advanced Function Analysis and Graphing,18,"Publication, presentation, or reflection",ma-g11-mathematics-u06-l18
109,22,Thursday,7,Transformations and Inverse Functions,1,Launch and diagnostic,ma-g11-mathematics-u07-l01
110,22,Friday,7,Transformations and Inverse Functions,2,Concept model A,ma-g11-mathematics-u07-l02
111,23,Monday,7,Transformations and Inverse Functions,3,Guided practice A,ma-g11-mathematics-u07-l03
112,23,Tuesday,7,Transformations and Inverse Functions,4,Independent application A,ma-g11-mathematics-u07-l04
113,23,Wednesday,7,Transformations and Inverse Functions,5,Concept model B,ma-g11-mathematics-u07-l05
114,23,Thursday,7,Transformations and Inverse Functions,6,Guided practice B,ma-g11-mathematics-u07-l06
115,23,Friday,7,Transformations and Inverse Functions,7,Investigation or close reading,ma-g11-mathematics-u07-l07
116,24,Monday,7,Transformations and Inverse Functions,8,Reteach and varied practice,ma-g11-mathematics-u07-l08
117,24,Tuesday,7,Transformations and Inverse Functions,9,Concept model C,ma-g11-mathematics-u07-l09
118,24,Wednesday,7,Transformations and Inverse Functions,10,Discussion or problem seminar,ma-g11-mathematics-u07-l10
119,24,Thursday,7,Transformations and Inverse Functions,11,Performance task planning,ma-g11-mathematics-u07-l11
120,24,Friday,7,Transformations and Inverse Functions,12,Performance task build,ma-g11-mathematics-u07-l12
121,25,Monday,7,Transformations and Inverse Functions,13,Skill consolidation,ma-g11-mathematics-u07-l13
122,25,Tuesday,7,Transformations and Inverse Functions,14,Transfer challenge,ma-g11-mathematics-u07-l14
123,25,Wednesday,7,Transformations and Inverse Functions,15,Assessment preparation,ma-g11-mathematics-u07-l15
124,25,Thursday,7,Transformations and Inverse Functions,16,Unit assessment,ma-g11-mathematics-u07-l16
125,25,Friday,7,Transformations and Inverse Functions,17,Targeted correction,ma-g11-mathematics-u07-l17
126,26,Monday,7,Transformations and Inverse Functions,18,"Publication, presentation, or reflection",ma-g11-mathematics-u07-l18
127,26,Tuesday,8,"Probability, Independence, and Conditional Reasoning",1,Launch and diagnostic,ma-g11-mathematics-u08-l01
128,26,Wednesday,8,"Probability, Independence, and Conditional Reasoning",2,Concept model A,ma-g11-mathematics-u08-l02
129,26,Thursday,8,"Probability, Independence, and Conditional Reasoning",3,Guided practice A,ma-g11-mathematics-u08-l03
130,26,Friday,8,"Probability, Independence, and Conditional Reasoning",4,Independent application A,ma-g11-mathematics-u08-l04
131,27,Monday,8,"Probability, Independence, and Conditional Reasoning",5,Concept model B,ma-g11-mathematics-u08-l05
132,27,Tuesday,8,"Probability, Independence, and Conditional Reasoning",6,Guided practice B,ma-g11-mathematics-u08-l06
133,27,Wednesday,8,"Probability, Independence, and Conditional Reasoning",7,Investigation or close reading,ma-g11-mathematics-u08-l07
134,27,Thursday,8,"Probability, Independence, and Conditional Reasoning",8,Reteach and varied practice,ma-g11-mathematics-u08-l08
135,27,Friday,8,"Probability, Independence, and Conditional Reasoning",9,Concept model C,ma-g11-mathematics-u08-l09
136,28,Monday,8,"Probability, Independence, and Conditional Reasoning",10,Discussion or problem seminar,ma-g11-mathematics-u08-l10
137,28,Tuesday,8,"Probability, Independence, and Conditional Reasoning",11,Performance task planning,ma-g11-mathematics-u08-l11
138,28,Wednesday,8,"Probability, Independence, and Conditional Reasoning",12,Performance task build,ma-g11-mathematics-u08-l12
139,28,Thursday,8,"Probability, Independence, and Conditional Reasoning",13,Skill consolidation,ma-g11-mathematics-u08-l13
140,28,Friday,8,"Probability, Independence, and Conditional Reasoning",14,Transfer challenge,ma-g11-mathematics-u08-l14
141,29,Monday,8,"Probability, Independence, and Conditional Reasoning",15,Assessment preparation,ma-g11-mathematics-u08-l15
142,29,Tuesday,8,"Probability, Independence, and Conditional Reasoning",16,Unit assessment,ma-g11-mathematics-u08-l16
143,29,Wednesday,8,"Probability, Independence, and Conditional Reasoning",17,Targeted correction,ma-g11-mathematics-u08-l17
144,29,Thursday,8,"Probability, Independence, and Conditional Reasoning",18,"Publication, presentation, or reflection",ma-g11-mathematics-u08-l18
145,29,Friday,9,Probability Rules and Interpretation,1,Launch and diagnostic,ma-g11-mathematics-u09-l01
146,30,Monday,9,Probability Rules and Interpretation,2,Concept model A,ma-g11-mathematics-u09-l02
147,30,Tuesday,9,Probability Rules and Interpretation,3,Guided practice A,ma-g11-mathematics-u09-l03
148,30,Wednesday,9,Probability Rules and Interpretation,4,Independent application A,ma-g11-mathematics-u09-l04
149,30,Thursday,9,Probability Rules and Interpretation,5,Concept model B,ma-g11-mathematics-u09-l05
150,30,Friday,9,Probability Rules and Interpretation,6,Guided practice B,ma-g11-mathematics-u09-l06
151,31,Monday,9,Probability Rules and Interpretation,7,Investigation or close reading,ma-g11-mathematics-u09-l07
152,31,Tuesday,9,Probability Rules and Interpretation,8,Reteach and varied practice,ma-g11-mathematics-u09-l08
153,31,Wednesday,9,Probability Rules and Interpretation,9,Concept model C,ma-g11-mathematics-u09-l09
154,31,Thursday,9,Probability Rules and Interpretation,10,Discussion or problem seminar,ma-g11-mathematics-u09-l10
155,31,Friday,9,Probability Rules and Interpretation,11,Performance task planning,ma-g11-mathematics-u09-l11
156,32,Monday,9,Probability Rules and Interpretation,12,Performance task build,ma-g11-mathematics-u09-l12
157,32,Tuesday,9,Probability Rules and Interpretation,13,Skill consolidation,ma-g11-mathematics-u09-l13
158,32,Wednesday,9,Probability Rules and Interpretation,14,Transfer challenge,ma-g11-mathematics-u09-l14
159,32,Thursday,9,Probability Rules and Interpretation,15,Assessment preparation,ma-g11-mathematics-u09-l15
160,32,Friday,9,Probability Rules and Interpretation,16,Unit assessment,ma-g11-mathematics-u09-l16
161,33,Monday,9,Probability Rules and Interpretation,17,Targeted correction,ma-g11-mathematics-u09-l17
162,33,Tuesday,9,Probability Rules and Interpretation,18,"Publication, presentation, or reflection",ma-g11-mathematics-u09-l18
163,33,Wednesday,10,Statistical Inference Capstone,1,Launch and diagnostic,ma-g11-mathematics-u10-l01
164,33,Thursday,10,Statistical Inference Capstone,2,Concept model A,ma-g11-mathematics-u10-l02
165,33,Friday,10,Statistical Inference Capstone,3,Guided practice A,ma-g11-mathematics-u10-l03
166,34,Monday,10,Statistical Inference Capstone,4,Independent application A,ma-g11-mathematics-u10-l04
167,34,Tuesday,10,Statistical Inference Capstone,5,Concept model B,ma-g11-mathematics-u10-l05
168,34,Wednesday,10,Statistical Inference Capstone,6,Guided practice B,ma-g11-mathematics-u10-l06
169,34,Thursday,10,Statistical Inference Capstone,7,Investigation or close reading,ma-g11-mathematics-u10-l07
170,34,Friday,10,Statistical Inference Capstone,8,Reteach and varied practice,ma-g11-mathematics-u10-l08
171,35,Monday,10,Statistical Inference Capstone,9,Concept model C,ma-g11-mathematics-u10-l09
172,35,Tuesday,10,Statistical Inference Capstone,10,Discussion or problem seminar,ma-g11-mathematics-u10-l10
173,35,Wednesday,10,Statistical Inference Capstone,11,Performance task planning,ma-g11-mathematics-u10-l11
174,35,Thursday,10,Statistical Inference Capstone,12,Performance task build,ma-g11-mathematics-u10-l12
175,35,Friday,10,Statistical Inference Capstone,13,Skill consolidation,ma-g11-mathematics-u10-l13
176,36,Monday,10,Statistical Inference Capstone,14,Transfer challenge,ma-g11-mathematics-u10-l14
177,36,Tuesday,10,Statistical Inference Capstone,15,Assessment preparation,ma-g11-mathematics-u10-l15
178,36,Wednesday,10,Statistical Inference Capstone,16,Unit assessment,ma-g11-mathematics-u10-l16
179,36,Thursday,10,Statistical Inference Capstone,17,Targeted correction,ma-g11-mathematics-u10-l17
180,36,Friday,10,Statistical Inference Capstone,18,"Publication, presentation, or reflection",ma-g11-mathematics-u10-l18
