assessment_ref,course_ref,grade,state,response_mode,task_count,task_kinds,metadata_ref_present,learner_material_ref,ready,answer_material_included,embedded_science_brief_or_bound_data,adult_authority_kind,adult_completion_authority_present,assessor_boundary
ma-g5-science-u04-assessment,ma-g5-science,5,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g5-science/student-sheets/ma-g5-science-u04-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g5-science-u05-assessment,ma-g5-science,5,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g5-science/student-sheets/ma-g5-science-u05-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g5-science-u06-assessment,ma-g5-science,5,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g5-science/student-sheets/ma-g5-science-u06-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g5-science-u07-assessment,ma-g5-science,5,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g5-science/student-sheets/ma-g5-science-u07-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g5-science-u08-assessment,ma-g5-science,5,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g5-science/student-sheets/ma-g5-science-u08-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g5-science-u09-assessment,ma-g5-science,5,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g5-science/student-sheets/ma-g5-science-u09-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g7-science-u01-assessment,ma-g7-science,7,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g7-science/student-sheets/ma-g7-science-u01-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g7-science-u02-assessment,ma-g7-science,7,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g7-science/student-sheets/ma-g7-science-u02-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g7-science-u03-assessment,ma-g7-science,7,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g7-science/student-sheets/ma-g7-science-u03-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g7-science-u04-assessment,ma-g7-science,7,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g7-science/student-sheets/ma-g7-science-u04-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g7-science-u05-assessment,ma-g7-science,7,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g7-science/student-sheets/ma-g7-science-u05-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g7-science-u06-assessment,ma-g7-science,7,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g7-science/student-sheets/ma-g7-science-u06-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g7-science-u07-assessment,ma-g7-science,7,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g7-science/student-sheets/ma-g7-science-u07-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g7-science-u08-assessment,ma-g7-science,7,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g7-science/student-sheets/ma-g7-science-u08-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g7-science-u09-assessment,ma-g7-science,7,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g7-science/student-sheets/ma-g7-science-u09-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g8-science-u01-assessment,ma-g8-science,8,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g8-science/student-sheets/ma-g8-science-u01-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g8-science-u02-assessment,ma-g8-science,8,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g8-science/student-sheets/ma-g8-science-u02-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g8-science-u03-assessment,ma-g8-science,8,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g8-science/student-sheets/ma-g8-science-u03-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g8-science-u04-assessment,ma-g8-science,8,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g8-science/student-sheets/ma-g8-science-u04-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g8-science-u05-assessment,ma-g8-science,8,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g8-science/student-sheets/ma-g8-science-u05-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g8-science-u06-assessment,ma-g8-science,8,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g8-science/student-sheets/ma-g8-science-u06-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g8-science-u07-assessment,ma-g8-science,8,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g8-science/student-sheets/ma-g8-science-u07-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g8-science-u08-assessment,ma-g8-science,8,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g8-science/student-sheets/ma-g8-science-u08-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g8-science-u09-assessment,ma-g8-science,8,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g8-science/student-sheets/ma-g8-science-u09-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs10-chemistry-u01-assessment,ma-g10-science,10,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs10-chemistry/student-sheets/ma-hs10-chemistry-u01-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs10-chemistry-u02-assessment,ma-g10-science,10,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs10-chemistry/student-sheets/ma-hs10-chemistry-u02-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs10-chemistry-u03-assessment,ma-g10-science,10,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs10-chemistry/student-sheets/ma-hs10-chemistry-u03-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs10-chemistry-u04-assessment,ma-g10-science,10,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs10-chemistry/student-sheets/ma-hs10-chemistry-u04-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs10-chemistry-u05-assessment,ma-g10-science,10,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs10-chemistry/student-sheets/ma-hs10-chemistry-u05-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs10-chemistry-u06-assessment,ma-g10-science,10,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs10-chemistry/student-sheets/ma-hs10-chemistry-u06-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs10-chemistry-u07-assessment,ma-g10-science,10,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs10-chemistry/student-sheets/ma-hs10-chemistry-u07-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs10-chemistry-u08-assessment,ma-g10-science,10,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs10-chemistry/student-sheets/ma-hs10-chemistry-u08-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs10-chemistry-u09-assessment,ma-g10-science,10,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs10-chemistry/student-sheets/ma-hs10-chemistry-u09-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs11-physics-u01-assessment,ma-g11-science,11,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs11-physics/student-sheets/ma-hs11-physics-u01-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs11-physics-u02-assessment,ma-g11-science,11,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs11-physics/student-sheets/ma-hs11-physics-u02-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs11-physics-u03-assessment,ma-g11-science,11,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs11-physics/student-sheets/ma-hs11-physics-u03-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs11-physics-u04-assessment,ma-g11-science,11,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs11-physics/student-sheets/ma-hs11-physics-u04-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs11-physics-u05-assessment,ma-g11-science,11,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs11-physics/student-sheets/ma-hs11-physics-u05-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs11-physics-u06-assessment,ma-g11-science,11,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs11-physics/student-sheets/ma-hs11-physics-u06-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs11-physics-u07-assessment,ma-g11-science,11,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs11-physics/student-sheets/ma-hs11-physics-u07-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs11-physics-u08-assessment,ma-g11-science,11,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs11-physics/student-sheets/ma-hs11-physics-u08-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs11-physics-u09-assessment,ma-g11-science,11,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs11-physics/student-sheets/ma-hs11-physics-u09-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs12-earth-space-environmental-u01-assessment,ma-g12-science,12,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs12-earth-space-environmental/student-sheets/ma-hs12-earth-space-environmental-u01-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs12-earth-space-environmental-u02-assessment,ma-g12-science,12,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs12-earth-space-environmental/student-sheets/ma-hs12-earth-space-environmental-u02-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs12-earth-space-environmental-u03-assessment,ma-g12-science,12,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs12-earth-space-environmental/student-sheets/ma-hs12-earth-space-environmental-u03-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs12-earth-space-environmental-u04-assessment,ma-g12-science,12,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs12-earth-space-environmental/student-sheets/ma-hs12-earth-space-environmental-u04-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-hs12-earth-space-environmental-u05-assessment,ma-g12-science,12,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-hs12-earth-space-environmental/student-sheets/ma-hs12-earth-space-environmental-u05-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
