lesson_id,course_id,grade,subject,unit_number,course_day,day_in_unit,phase,title
ma-g3-mathematics-u03-l16,ma-g3-mathematics,3,mathematics,3,52,16,Unit assessment,"Unit assessment: fluency, strategy, and explanation"
ma-g3-mathematics-u03-l17,ma-g3-mathematics,3,mathematics,3,53,17,Targeted correction and reassessment,Targeted correction and reassessment: unsecured facts
ma-g3-mathematics-u03-l18,ma-g3-mathematics,3,mathematics,3,54,18,"Transfer, reflection, and publication","Transfer, reflection, and publication: accuracy and flexibility without speed pressure"
ma-g3-mathematics-u04-l01,ma-g3-mathematics,3,mathematics,4,55,1,Launch and diagnostic,Launch and diagnostic: recognizing problems that hide a second step
ma-g3-mathematics-u04-l02,ma-g3-mathematics,3,mathematics,4,56,2,Concept build A,Concept build A: representing two-step problems with bar models
ma-g3-mathematics-u04-l03,ma-g3-mathematics,3,mathematics,4,57,3,Concept build B,Concept build B: writing equations with a letter for the unknown quantity
ma-g3-mathematics-u04-l04,ma-g3-mathematics,3,mathematics,4,58,4,Guided practice A,Guided practice A: order of operations inside two-step situations
ma-g3-mathematics-u04-l05,ma-g3-mathematics,3,mathematics,4,59,5,Independent evidence A,Independent evidence A: two-step problems combining addition and multiplication
ma-g3-mathematics-u04-l06,ma-g3-mathematics,3,mathematics,4,60,6,Concept build C,Concept build C: estimation and mental strategies to test reasonableness
ma-g3-mathematics-u04-l07,ma-g3-mathematics,3,mathematics,4,61,7,Guided practice B,Guided practice B: two-step problems combining subtraction and division
ma-g3-mathematics-u04-l08,ma-g3-mathematics,3,mathematics,4,62,8,Error analysis and repair,Error analysis and repair: stopped-at-step-one errors
ma-g3-mathematics-u04-l09,ma-g3-mathematics,3,mathematics,4,63,9,Retrieval and fluency,Retrieval and fluency: facts embedded in multi-step work
ma-g3-mathematics-u04-l10,ma-g3-mathematics,3,mathematics,4,64,10,Independent evidence B,Independent evidence B: two-step problems across all four operations
ma-g3-mathematics-u04-l11,ma-g3-mathematics,3,mathematics,4,65,11,Concept extension,Concept extension: patterns in the addition and multiplication tables
ma-g3-mathematics-u04-l12,ma-g3-mathematics,3,mathematics,4,66,12,Applied problem solving,Applied problem solving: explaining patterns using properties and multiples of ten
ma-g3-mathematics-u04-l13,ma-g3-mathematics,3,mathematics,4,67,13,Performance task: plan,Performance task: plan: the two-step event problem set
ma-g3-mathematics-u04-l14,ma-g3-mathematics,3,mathematics,4,68,14,Performance task: build,"Performance task: build: problems with models, equations, and checks"
ma-g3-mathematics-u04-l15,ma-g3-mathematics,3,mathematics,4,69,15,Synthesis and review,Synthesis and review: multi-step reasoning and pattern explanation
ma-g3-mathematics-u04-l16,ma-g3-mathematics,3,mathematics,4,70,16,Unit assessment,Unit assessment: two-step problems and pattern reasoning
ma-g3-mathematics-u04-l17,ma-g3-mathematics,3,mathematics,4,71,17,Targeted correction and reassessment,Targeted correction and reassessment: multi-step reasoning
ma-g3-mathematics-u04-l18,ma-g3-mathematics,3,mathematics,4,72,18,"Transfer, reflection, and publication","Transfer, reflection, and publication: two-step reasoning in daily planning"
ma-g3-mathematics-u05-l01,ma-g3-mathematics,3,mathematics,5,73,1,Launch and diagnostic,Launch and diagnostic: fair shares and what makes parts equal
ma-g3-mathematics-u05-l02,ma-g3-mathematics,3,mathematics,5,74,2,Concept build A,Concept build A: partitioning shapes into equal parts
ma-g3-mathematics-u05-l03,ma-g3-mathematics,3,mathematics,5,75,3,Concept build B,Concept build B: unit fractions as one part of an equally partitioned whole
ma-g3-mathematics-u05-l04,ma-g3-mathematics,3,mathematics,5,76,4,Guided practice A,Guided practice A: non-unit fractions from unit fractions
ma-g3-mathematics-u05-l05,ma-g3-mathematics,3,mathematics,5,77,5,Independent evidence A,Independent evidence A: naming fractions from area models
ma-g3-mathematics-u05-l06,ma-g3-mathematics,3,mathematics,5,78,6,Concept build C,Concept build C: the number line as a length model for fractions
ma-g3-mathematics-u05-l07,ma-g3-mathematics,3,mathematics,5,79,7,Guided practice B,Guided practice B: locating unit fractions on the number line
ma-g3-mathematics-u05-l08,ma-g3-mathematics,3,mathematics,5,80,8,Error analysis and repair,Error analysis and repair: tick-mark counting errors
ma-g3-mathematics-u05-l09,ma-g3-mathematics,3,mathematics,5,81,9,Retrieval and fluency,Retrieval and fluency: naming and drawing unit fractions
ma-g3-mathematics-u05-l10,ma-g3-mathematics,3,mathematics,5,82,10,Independent evidence B,Independent evidence B: locating non-unit fractions on the number line
ma-g3-mathematics-u05-l11,ma-g3-mathematics,3,mathematics,5,83,11,Concept extension,Concept extension: fractions of a whole in measurement and sharing contexts
ma-g3-mathematics-u05-l12,ma-g3-mathematics,3,mathematics,5,84,12,Applied problem solving,Applied problem solving: why the whole must always be identified
ma-g3-mathematics-u05-l13,ma-g3-mathematics,3,mathematics,5,85,13,Performance task: plan,Performance task: plan: the fraction number-line gallery
ma-g3-mathematics-u05-l14,ma-g3-mathematics,3,mathematics,5,86,14,Performance task: build,Performance task: build: gallery entries with equal-partition evidence
ma-g3-mathematics-u05-l15,ma-g3-mathematics,3,mathematics,5,87,15,Synthesis and review,Synthesis and review: a fraction is a number
ma-g3-mathematics-u05-l16,ma-g3-mathematics,3,mathematics,5,88,16,Unit assessment,Unit assessment: fractions as numbers
ma-g3-mathematics-u05-l17,ma-g3-mathematics,3,mathematics,5,89,17,Targeted correction and reassessment,Targeted correction and reassessment: partitioning and placement
ma-g3-mathematics-u05-l18,ma-g3-mathematics,3,mathematics,5,90,18,"Transfer, reflection, and publication","Transfer, reflection, and publication: fractions in measurement and sharing"
ma-g3-mathematics-u06-l01,ma-g3-mathematics,3,mathematics,6,91,1,Launch and diagnostic,Launch and diagnostic: two names for the same amount
ma-g3-mathematics-u06-l02,ma-g3-mathematics,3,mathematics,6,92,2,Concept build A,Concept build A: equivalence seen on the number line
ma-g3-mathematics-u06-l03,ma-g3-mathematics,3,mathematics,6,93,3,Concept build B,Concept build B: equivalence seen with area models
ma-g3-mathematics-u06-l04,ma-g3-mathematics,3,mathematics,6,94,4,Guided practice A,Guided practice A: generating simple equivalent fractions
ma-g3-mathematics-u06-l05,ma-g3-mathematics,3,mathematics,6,95,5,Independent evidence A,Independent evidence A: recognizing equivalent fractions in models and notation
ma-g3-mathematics-u06-l06,ma-g3-mathematics,3,mathematics,6,96,6,Concept build C,Concept build C: whole numbers written as fractions
ma-g3-mathematics-u06-l07,ma-g3-mathematics,3,mathematics,6,97,7,Guided practice B,Guided practice B: fractions equal to whole numbers
ma-g3-mathematics-u06-l08,ma-g3-mathematics,3,mathematics,6,98,8,Error analysis and repair,Error analysis and repair: different-whole comparison errors
ma-g3-mathematics-u06-l09,ma-g3-mathematics,3,mathematics,6,99,9,Retrieval and fluency,Retrieval and fluency: unit fractions and equivalence
ma-g3-mathematics-u06-l10,ma-g3-mathematics,3,mathematics,6,100,10,Independent evidence B,Independent evidence B: comparing fractions with the same numerator
ma-g3-mathematics-u06-l11,ma-g3-mathematics,3,mathematics,6,101,11,Concept extension,Concept extension: comparing fractions with the same denominator
ma-g3-mathematics-u06-l12,ma-g3-mathematics,3,mathematics,6,102,12,Applied problem solving,Applied problem solving: justifying a comparison with a model and a symbol
ma-g3-mathematics-u06-l13,ma-g3-mathematics,3,mathematics,6,103,13,Performance task: plan,"Performance task: plan: the Same Size, Different Name proof set"
ma-g3-mathematics-u06-l14,ma-g3-mathematics,3,mathematics,6,104,14,Performance task: build,Performance task: build: proofs with models and written justifications
ma-g3-mathematics-u06-l15,ma-g3-mathematics,3,mathematics,6,105,15,Synthesis and review,Synthesis and review: equivalence and comparison
ma-g3-mathematics-u06-l16,ma-g3-mathematics,3,mathematics,6,106,16,Unit assessment,Unit assessment: equivalence and comparison
ma-g3-mathematics-u06-l17,ma-g3-mathematics,3,mathematics,6,107,17,Targeted correction and reassessment,Targeted correction and reassessment: comparison reasoning
ma-g3-mathematics-u06-l18,ma-g3-mathematics,3,mathematics,6,108,18,"Transfer, reflection, and publication","Transfer, reflection, and publication: recognizing the same amount written different ways"
ma-g3-mathematics-u07-l01,ma-g3-mathematics,3,mathematics,7,109,1,Launch and diagnostic,Launch and diagnostic: what we measure and why the unit matters
ma-g3-mathematics-u07-l02,ma-g3-mathematics,3,mathematics,7,110,2,Concept build A,Concept build A: telling and writing time to the nearest minute
ma-g3-mathematics-u07-l03,ma-g3-mathematics,3,mathematics,7,111,3,Concept build B,Concept build B: elapsed time on a number line
ma-g3-mathematics-u07-l04,ma-g3-mathematics,3,mathematics,7,112,4,Guided practice A,Guided practice A: adding and subtracting time intervals
ma-g3-mathematics-u07-l05,ma-g3-mathematics,3,mathematics,7,113,5,Independent evidence A,Independent evidence A: elapsed-time problems in real contexts
ma-g3-mathematics-u07-l06,ma-g3-mathematics,3,mathematics,7,114,6,Concept build C,Concept build C: measuring and estimating liquid volume in liters
ma-g3-mathematics-u07-l07,ma-g3-mathematics,3,mathematics,7,115,7,Guided practice B,Guided practice B: measuring and estimating mass in grams and kilograms
ma-g3-mathematics-u07-l08,ma-g3-mathematics,3,mathematics,7,116,8,Error analysis and repair,Error analysis and repair: unit-confusion and unreasonable-estimate errors
ma-g3-mathematics-u07-l09,ma-g3-mathematics,3,mathematics,7,117,9,Retrieval and fluency,Retrieval and fluency: time and unit benchmarks
ma-g3-mathematics-u07-l10,ma-g3-mathematics,3,mathematics,7,118,10,Independent evidence B,Independent evidence B: one-step problems involving liquid volume and mass
ma-g3-mathematics-u07-l11,ma-g3-mathematics,3,mathematics,7,119,11,Concept extension,Concept extension: choosing a unit and estimating before measuring
ma-g3-mathematics-u07-l12,ma-g3-mathematics,3,mathematics,7,120,12,Applied problem solving,Applied problem solving: measurement problems solved by multiplication and division
ma-g3-mathematics-u07-l13,ma-g3-mathematics,3,mathematics,7,121,13,Performance task: plan,Performance task: plan: the day plan and Measure It station guide
ma-g3-mathematics-u07-l14,ma-g3-mathematics,3,mathematics,7,122,14,Performance task: build,"Performance task: build: the guide with estimates, units, and elapsed-time reasoning"
ma-g3-mathematics-u07-l15,ma-g3-mathematics,3,mathematics,7,123,15,Synthesis and review,Synthesis and review: measurement reasoning
ma-g3-mathematics-u07-l16,ma-g3-mathematics,3,mathematics,7,124,16,Unit assessment,"Unit assessment: time, liquid volume, and mass"
ma-g3-mathematics-u07-l17,ma-g3-mathematics,3,mathematics,7,125,17,Targeted correction and reassessment,Targeted correction and reassessment: elapsed time and units
ma-g3-mathematics-u07-l18,ma-g3-mathematics,3,mathematics,7,126,18,"Transfer, reflection, and publication","Transfer, reflection, and publication: measuring safely with an adult at home"
ma-g3-mathematics-u08-l01,ma-g3-mathematics,3,mathematics,8,127,1,Launch and diagnostic,Launch and diagnostic: questions a graph can and cannot answer
ma-g3-mathematics-u08-l02,ma-g3-mathematics,3,mathematics,8,128,2,Concept build A,Concept build A: picture graphs with a scaled key
ma-g3-mathematics-u08-l03,ma-g3-mathematics,3,mathematics,8,129,3,Concept build B,Concept build B: drawing and reading scaled bar graphs
ma-g3-mathematics-u08-l04,ma-g3-mathematics,3,mathematics,8,130,4,Guided practice A,Guided practice A: one- and two-step questions from a graph
ma-g3-mathematics-u08-l05,ma-g3-mathematics,3,mathematics,8,131,5,Independent evidence A,Independent evidence A: a scaled bar graph from a data set
ma-g3-mathematics-u08-l06,ma-g3-mathematics,3,mathematics,8,132,6,Concept build C,Concept build C: measuring lengths to the nearest half and quarter inch
ma-g3-mathematics-u08-l07,ma-g3-mathematics,3,mathematics,8,133,7,Guided practice B,Guided practice B: a line plot from measurement data
ma-g3-mathematics-u08-l08,ma-g3-mathematics,3,mathematics,8,134,8,Error analysis and repair,Error analysis and repair: misleading-scale and axis errors
ma-g3-mathematics-u08-l09,ma-g3-mathematics,3,mathematics,8,135,9,Retrieval and fluency,Retrieval and fluency: reading scaled graphs
ma-g3-mathematics-u08-l10,ma-g3-mathematics,3,mathematics,8,136,10,Independent evidence B,Independent evidence B: interpreting a line plot
ma-g3-mathematics-u08-l11,ma-g3-mathematics,3,mathematics,8,137,11,Concept extension,Concept extension: comparing categories with two-step questions
ma-g3-mathematics-u08-l12,ma-g3-mathematics,3,mathematics,8,138,12,Applied problem solving,Applied problem solving: choosing a representation that fits the question
ma-g3-mathematics-u08-l13,ma-g3-mathematics,3,mathematics,8,139,13,Performance task: plan,Performance task: plan: a de-identified survey or measurement study
ma-g3-mathematics-u08-l14,ma-g3-mathematics,3,mathematics,8,140,14,Performance task: build,"Performance task: build: the graph, line plot, and interpretation"
ma-g3-mathematics-u08-l15,ma-g3-mathematics,3,mathematics,8,141,15,Synthesis and review,Synthesis and review: representing and interpreting data
ma-g3-mathematics-u08-l16,ma-g3-mathematics,3,mathematics,8,142,16,Unit assessment,Unit assessment: scaled graphs and line plots
ma-g3-mathematics-u08-l17,ma-g3-mathematics,3,mathematics,8,143,17,Targeted correction and reassessment,Targeted correction and reassessment: scale and interpretation
ma-g3-mathematics-u08-l18,ma-g3-mathematics,3,mathematics,8,144,18,"Transfer, reflection, and publication","Transfer, reflection, and publication: judging whether a real graph is honest"
ma-g3-mathematics-u09-l01,ma-g3-mathematics,3,mathematics,9,145,1,Launch and diagnostic,Launch and diagnostic: covering a surface without gaps or overlaps
ma-g3-mathematics-u09-l02,ma-g3-mathematics,3,mathematics,9,146,2,Concept build A,Concept build A: unit squares and area as a count of squares
ma-g3-mathematics-u09-l03,ma-g3-mathematics,3,mathematics,9,147,3,Concept build B,Concept build B: measuring area by tiling
ma-g3-mathematics-u09-l04,ma-g3-mathematics,3,mathematics,9,148,4,Guided practice A,Guided practice A: counting unit squares in standard square units
ma-g3-mathematics-u09-l05,ma-g3-mathematics,3,mathematics,9,149,5,Independent evidence A,Independent evidence A: finding area from a tiled figure
ma-g3-mathematics-u09-l06,ma-g3-mathematics,3,mathematics,9,150,6,Concept build C,Concept build C: area as the product of side lengths
ma-g3-mathematics-u09-l07,ma-g3-mathematics,3,mathematics,9,151,7,Guided practice B,Guided practice B: connecting tiling to the area formula
ma-g3-mathematics-u09-l08,ma-g3-mathematics,3,mathematics,9,152,8,Error analysis and repair,Error analysis and repair: area-versus-perimeter confusion
ma-g3-mathematics-u09-l09,ma-g3-mathematics,3,mathematics,9,153,9,Retrieval and fluency,Retrieval and fluency: products read as areas
ma-g3-mathematics-u09-l10,ma-g3-mathematics,3,mathematics,9,154,10,Independent evidence B,Independent evidence B: area of rectangles in real contexts
ma-g3-mathematics-u09-l11,ma-g3-mathematics,3,mathematics,9,155,11,Concept extension,Concept extension: breaking a rectangle apart to show the distributive property
ma-g3-mathematics-u09-l12,ma-g3-mathematics,3,mathematics,9,156,12,Applied problem solving,Applied problem solving: area of combined rectilinear figures
ma-g3-mathematics-u09-l13,ma-g3-mathematics,3,mathematics,9,157,13,Performance task: plan,Performance task: plan: the floor plan design
ma-g3-mathematics-u09-l14,ma-g3-mathematics,3,mathematics,9,158,14,Performance task: build,Performance task: build: the plan with every area justified two ways
ma-g3-mathematics-u09-l15,ma-g3-mathematics,3,mathematics,9,159,15,Synthesis and review,"Synthesis and review: area concepts, tiling, and formulas"
ma-g3-mathematics-u09-l16,ma-g3-mathematics,3,mathematics,9,160,16,Unit assessment,Unit assessment: area and the distributive property
ma-g3-mathematics-u09-l17,ma-g3-mathematics,3,mathematics,9,161,17,Targeted correction and reassessment,Targeted correction and reassessment: area reasoning
ma-g3-mathematics-u09-l18,ma-g3-mathematics,3,mathematics,9,162,18,"Transfer, reflection, and publication","Transfer, reflection, and publication: area in the spaces around us"
ma-g3-mathematics-u10-l01,ma-g3-mathematics,3,mathematics,10,163,1,Launch and diagnostic,Launch and diagnostic: distance around compared with space inside
ma-g3-mathematics-u10-l02,ma-g3-mathematics,3,mathematics,10,164,2,Concept build A,Concept build A: finding the perimeter of polygons
ma-g3-mathematics-u10-l03,ma-g3-mathematics,3,mathematics,10,165,3,Concept build B,Concept build B: finding an unknown side length from a known perimeter
ma-g3-mathematics-u10-l04,ma-g3-mathematics,3,mathematics,10,166,4,Guided practice A,"Guided practice A: same perimeter, different area"
ma-g3-mathematics-u10-l05,ma-g3-mathematics,3,mathematics,10,167,5,Independent evidence A,"Independent evidence A: same area, different perimeter"
ma-g3-mathematics-u10-l06,ma-g3-mathematics,3,mathematics,10,168,6,Concept build C,Concept build C: categories of quadrilaterals and their attributes
ma-g3-mathematics-u10-l07,ma-g3-mathematics,3,mathematics,10,169,7,Guided practice B,Guided practice B: attributes shared across shape categories
ma-g3-mathematics-u10-l08,ma-g3-mathematics,3,mathematics,10,170,8,Error analysis and repair,Error analysis and repair: classification-by-appearance errors
ma-g3-mathematics-u10-l09,ma-g3-mathematics,3,mathematics,10,171,9,Retrieval and fluency,"Retrieval and fluency: perimeter, area, and shape names"
ma-g3-mathematics-u10-l10,ma-g3-mathematics,3,mathematics,10,172,10,Independent evidence B,Independent evidence B: partitioning shapes into parts with equal areas
ma-g3-mathematics-u10-l11,ma-g3-mathematics,3,mathematics,10,173,11,Concept extension,Concept extension: design constraints that involve both perimeter and area
ma-g3-mathematics-u10-l12,ma-g3-mathematics,3,mathematics,10,174,12,Applied problem solving,"Applied problem solving: connecting geometry, fractions, and measurement"
ma-g3-mathematics-u10-l13,ma-g3-mathematics,3,mathematics,10,175,13,Performance task: plan,Performance task: plan: the capstone design
ma-g3-mathematics-u10-l14,ma-g3-mathematics,3,mathematics,10,176,14,Performance task: build,Performance task: build: the capstone design
ma-g3-mathematics-u10-l15,ma-g3-mathematics,3,mathematics,10,177,15,Synthesis and review,Synthesis and review: the mathematical justifications in the capstone design
ma-g3-mathematics-u10-l16,ma-g3-mathematics,3,mathematics,10,178,16,Unit assessment,"Unit assessment: perimeter, geometry, and partitioning"
ma-g3-mathematics-u10-l17,ma-g3-mathematics,3,mathematics,10,179,17,Targeted correction and reassessment,Targeted correction and reassessment: perimeter and classification
ma-g3-mathematics-u10-l18,ma-g3-mathematics,3,mathematics,10,180,18,"Transfer, reflection, and publication","Transfer, reflection, and publication: perimeter, area, and shape classification in the completed design"
ma-g3-english-language-arts-u01-l01,ma-g3-english-language-arts,3,english-language-arts,1,1,1,Launch and baseline,"Launch and baseline: what strong readers and writers do, and a no-penalty baseline"
ma-g3-english-language-arts-u01-l02,ma-g3-english-language-arts,3,english-language-arts,1,2,2,Word work and decoding focus,Word work and decoding focus: hearing syllables and finding known parts inside longer words
ma-g3-english-language-arts-u01-l03,ma-g3-english-language-arts,3,english-language-arts,1,3,3,Explicit model A,Explicit model A: asking questions the words on the page can answer
ma-g3-english-language-arts-u01-l04,ma-g3-english-language-arts,3,english-language-arts,1,4,4,Guided practice A,Guided practice A: answering by pointing to the exact sentence that proves it
ma-g3-english-language-arts-u01-l05,ma-g3-english-language-arts,3,english-language-arts,1,5,5,Fluency and rereading practice,Fluency and rereading practice: reading a short passage smoothly and rereading the line that slowed you down
ma-g3-english-language-arts-u01-l06,ma-g3-english-language-arts,3,english-language-arts,1,6,6,Independent application A,Independent application A: reading a new short passage and recording one question and one proved answer
ma-g3-english-language-arts-u01-l07,ma-g3-english-language-arts,3,english-language-arts,1,7,7,Explicit model B,Explicit model B: what a complete sentence needs: a naming part and an action part
ma-g3-english-language-arts-u01-l08,ma-g3-english-language-arts,3,english-language-arts,1,8,8,Guided practice B,Guided practice B: turning a two-word answer into a full sentence that stands alone
ma-g3-english-language-arts-u01-l09,ma-g3-english-language-arts,3,english-language-arts,1,9,9,Shared close reading,"Shared close reading: reading one original passage together for who, what, where, and when"
ma-g3-english-language-arts-u01-l10,ma-g3-english-language-arts,3,english-language-arts,1,10,10,Reteach and varied practice,Reteach and varied practice: fixing answers that sound right but do not point to the text
ma-g3-english-language-arts-u01-l11,ma-g3-english-language-arts,3,english-language-arts,1,11,11,Vocabulary and language study,"Vocabulary and language study: capital letters, end marks, and reading a sentence aloud to check it"
ma-g3-english-language-arts-u01-l12,ma-g3-english-language-arts,3,english-language-arts,1,12,12,Writing plan and draft,Writing plan and draft: planning three sentences about one reading habit that helps you
ma-g3-english-language-arts-u01-l13,ma-g3-english-language-arts,3,english-language-arts,1,13,13,Writing revise and edit,Writing revise and edit: revising for one clear idea and editing every end mark
ma-g3-english-language-arts-u01-l14,ma-g3-english-language-arts,3,english-language-arts,1,14,14,Talk and listening practice,"Talk and listening practice: discussion norms: listen, wait, build on, and disagree kindly"
ma-g3-english-language-arts-u01-l15,ma-g3-english-language-arts,3,english-language-arts,1,15,15,Skill consolidation and retrieval,Skill consolidation and retrieval: retrieving the unit's reading moves and sentence moves together
ma-g3-english-language-arts-u01-l16,ma-g3-english-language-arts,3,english-language-arts,1,16,16,Transfer to a new text,Transfer to a new text: using the same moves on an unfamiliar informational passage
