week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
12,Wednesday,58,4,4,ma-g4-english-language-arts-u04-l04
12,Thursday,59,4,5,ma-g4-english-language-arts-u04-l05
12,Friday,60,4,6,ma-g4-english-language-arts-u04-l06
13,Monday,61,4,7,ma-g4-english-language-arts-u04-l07
13,Tuesday,62,4,8,ma-g4-english-language-arts-u04-l08
13,Wednesday,63,4,9,ma-g4-english-language-arts-u04-l09
13,Thursday,64,4,10,ma-g4-english-language-arts-u04-l10
13,Friday,65,4,11,ma-g4-english-language-arts-u04-l11
14,Monday,66,4,12,ma-g4-english-language-arts-u04-l12
14,Tuesday,67,4,13,ma-g4-english-language-arts-u04-l13
14,Wednesday,68,4,14,ma-g4-english-language-arts-u04-l14
14,Thursday,69,4,15,ma-g4-english-language-arts-u04-l15
14,Friday,70,4,16,ma-g4-english-language-arts-u04-l16
15,Monday,71,4,17,ma-g4-english-language-arts-u04-l17
15,Tuesday,72,4,18,ma-g4-english-language-arts-u04-l18
15,Wednesday,73,5,1,ma-g4-english-language-arts-u05-l01
15,Thursday,74,5,2,ma-g4-english-language-arts-u05-l02
15,Friday,75,5,3,ma-g4-english-language-arts-u05-l03
16,Monday,76,5,4,ma-g4-english-language-arts-u05-l04
16,Tuesday,77,5,5,ma-g4-english-language-arts-u05-l05
16,Wednesday,78,5,6,ma-g4-english-language-arts-u05-l06
16,Thursday,79,5,7,ma-g4-english-language-arts-u05-l07
16,Friday,80,5,8,ma-g4-english-language-arts-u05-l08
17,Monday,81,5,9,ma-g4-english-language-arts-u05-l09
17,Tuesday,82,5,10,ma-g4-english-language-arts-u05-l10
17,Wednesday,83,5,11,ma-g4-english-language-arts-u05-l11
17,Thursday,84,5,12,ma-g4-english-language-arts-u05-l12
17,Friday,85,5,13,ma-g4-english-language-arts-u05-l13
18,Monday,86,5,14,ma-g4-english-language-arts-u05-l14
18,Tuesday,87,5,15,ma-g4-english-language-arts-u05-l15
18,Wednesday,88,5,16,ma-g4-english-language-arts-u05-l16
18,Thursday,89,5,17,ma-g4-english-language-arts-u05-l17
18,Friday,90,5,18,ma-g4-english-language-arts-u05-l18
19,Monday,91,6,1,ma-g4-english-language-arts-u06-l01
19,Tuesday,92,6,2,ma-g4-english-language-arts-u06-l02
19,Wednesday,93,6,3,ma-g4-english-language-arts-u06-l03
19,Thursday,94,6,4,ma-g4-english-language-arts-u06-l04
19,Friday,95,6,5,ma-g4-english-language-arts-u06-l05
20,Monday,96,6,6,ma-g4-english-language-arts-u06-l06
20,Tuesday,97,6,7,ma-g4-english-language-arts-u06-l07
20,Wednesday,98,6,8,ma-g4-english-language-arts-u06-l08
20,Thursday,99,6,9,ma-g4-english-language-arts-u06-l09
20,Friday,100,6,10,ma-g4-english-language-arts-u06-l10
21,Monday,101,6,11,ma-g4-english-language-arts-u06-l11
21,Tuesday,102,6,12,ma-g4-english-language-arts-u06-l12
21,Wednesday,103,6,13,ma-g4-english-language-arts-u06-l13
21,Thursday,104,6,14,ma-g4-english-language-arts-u06-l14
21,Friday,105,6,15,ma-g4-english-language-arts-u06-l15
22,Monday,106,6,16,ma-g4-english-language-arts-u06-l16
22,Tuesday,107,6,17,ma-g4-english-language-arts-u06-l17
22,Wednesday,108,6,18,ma-g4-english-language-arts-u06-l18
22,Thursday,109,7,1,ma-g4-english-language-arts-u07-l01
22,Friday,110,7,2,ma-g4-english-language-arts-u07-l02
23,Monday,111,7,3,ma-g4-english-language-arts-u07-l03
23,Tuesday,112,7,4,ma-g4-english-language-arts-u07-l04
23,Wednesday,113,7,5,ma-g4-english-language-arts-u07-l05
23,Thursday,114,7,6,ma-g4-english-language-arts-u07-l06
23,Friday,115,7,7,ma-g4-english-language-arts-u07-l07
24,Monday,116,7,8,ma-g4-english-language-arts-u07-l08
24,Tuesday,117,7,9,ma-g4-english-language-arts-u07-l09
24,Wednesday,118,7,10,ma-g4-english-language-arts-u07-l10
24,Thursday,119,7,11,ma-g4-english-language-arts-u07-l11
24,Friday,120,7,12,ma-g4-english-language-arts-u07-l12
25,Monday,121,7,13,ma-g4-english-language-arts-u07-l13
25,Tuesday,122,7,14,ma-g4-english-language-arts-u07-l14
25,Wednesday,123,7,15,ma-g4-english-language-arts-u07-l15
25,Thursday,124,7,16,ma-g4-english-language-arts-u07-l16
25,Friday,125,7,17,ma-g4-english-language-arts-u07-l17
26,Monday,126,7,18,ma-g4-english-language-arts-u07-l18
26,Tuesday,127,8,1,ma-g4-english-language-arts-u08-l01
26,Wednesday,128,8,2,ma-g4-english-language-arts-u08-l02
26,Thursday,129,8,3,ma-g4-english-language-arts-u08-l03
26,Friday,130,8,4,ma-g4-english-language-arts-u08-l04
27,Monday,131,8,5,ma-g4-english-language-arts-u08-l05
27,Tuesday,132,8,6,ma-g4-english-language-arts-u08-l06
27,Wednesday,133,8,7,ma-g4-english-language-arts-u08-l07
27,Thursday,134,8,8,ma-g4-english-language-arts-u08-l08
27,Friday,135,8,9,ma-g4-english-language-arts-u08-l09
28,Monday,136,8,10,ma-g4-english-language-arts-u08-l10
28,Tuesday,137,8,11,ma-g4-english-language-arts-u08-l11
28,Wednesday,138,8,12,ma-g4-english-language-arts-u08-l12
28,Thursday,139,8,13,ma-g4-english-language-arts-u08-l13
28,Friday,140,8,14,ma-g4-english-language-arts-u08-l14
29,Monday,141,8,15,ma-g4-english-language-arts-u08-l15
29,Tuesday,142,8,16,ma-g4-english-language-arts-u08-l16
29,Wednesday,143,8,17,ma-g4-english-language-arts-u08-l17
29,Thursday,144,8,18,ma-g4-english-language-arts-u08-l18
29,Friday,145,9,1,ma-g4-english-language-arts-u09-l01
30,Monday,146,9,2,ma-g4-english-language-arts-u09-l02
30,Tuesday,147,9,3,ma-g4-english-language-arts-u09-l03
30,Wednesday,148,9,4,ma-g4-english-language-arts-u09-l04
30,Thursday,149,9,5,ma-g4-english-language-arts-u09-l05
30,Friday,150,9,6,ma-g4-english-language-arts-u09-l06
31,Monday,151,9,7,ma-g4-english-language-arts-u09-l07
31,Tuesday,152,9,8,ma-g4-english-language-arts-u09-l08
31,Wednesday,153,9,9,ma-g4-english-language-arts-u09-l09
31,Thursday,154,9,10,ma-g4-english-language-arts-u09-l10
31,Friday,155,9,11,ma-g4-english-language-arts-u09-l11
32,Monday,156,9,12,ma-g4-english-language-arts-u09-l12
32,Tuesday,157,9,13,ma-g4-english-language-arts-u09-l13
32,Wednesday,158,9,14,ma-g4-english-language-arts-u09-l14
32,Thursday,159,9,15,ma-g4-english-language-arts-u09-l15
32,Friday,160,9,16,ma-g4-english-language-arts-u09-l16
33,Monday,161,9,17,ma-g4-english-language-arts-u09-l17
33,Tuesday,162,9,18,ma-g4-english-language-arts-u09-l18
33,Wednesday,163,10,1,ma-g4-english-language-arts-u10-l01
33,Thursday,164,10,2,ma-g4-english-language-arts-u10-l02
33,Friday,165,10,3,ma-g4-english-language-arts-u10-l03
34,Monday,166,10,4,ma-g4-english-language-arts-u10-l04
34,Tuesday,167,10,5,ma-g4-english-language-arts-u10-l05
34,Wednesday,168,10,6,ma-g4-english-language-arts-u10-l06
34,Thursday,169,10,7,ma-g4-english-language-arts-u10-l07
34,Friday,170,10,8,ma-g4-english-language-arts-u10-l08
35,Monday,171,10,9,ma-g4-english-language-arts-u10-l09
35,Tuesday,172,10,10,ma-g4-english-language-arts-u10-l10
35,Wednesday,173,10,11,ma-g4-english-language-arts-u10-l11
35,Thursday,174,10,12,ma-g4-english-language-arts-u10-l12
35,Friday,175,10,13,ma-g4-english-language-arts-u10-l13
36,Monday,176,10,14,ma-g4-english-language-arts-u10-l14
36,Tuesday,177,10,15,ma-g4-english-language-arts-u10-l15
36,Wednesday,178,10,16,ma-g4-english-language-arts-u10-l16
36,Thursday,179,10,17,ma-g4-english-language-arts-u10-l17
36,Friday,180,10,18,ma-g4-english-language-arts-u10-l18
