lesson_id,course_id,grade,subject,course_day,unit_number,unit_title,day_in_unit,title,phase,focus,standards
ma-g9-social-studies-u01-l11,ma-g9-social-studies,9,social-studies,11,1,Foundations of High School United States History and Geography,11,Unit assessment: spatial reasoning with maps,Unit assessment,spatial reasoning with maps,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u01-l12,ma-g9-social-studies,9,social-studies,12,1,Foundations of High School United States History and Geography,12,Correction and reflection: argument from evidence,Correction and reflection,argument from evidence,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u02-l01,ma-g9-social-studies,9,social-studies,13,2,"Industrial and Urban America, 1870-1900",1,Launch and diagnostic: the Second Industrial Revolution,Launch and diagnostic,the Second Industrial Revolution,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l02,ma-g9-social-studies,9,social-studies,14,2,"Industrial and Urban America, 1870-1900",2,Concept model A: labor's response to industrial growth,Concept model A,labor's response to industrial growth,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l03,ma-g9-social-studies,9,social-studies,15,2,"Industrial and Urban America, 1870-1900",3,Guided practice A: urbanization,Guided practice A,urbanization,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l04,ma-g9-social-studies,9,social-studies,16,2,"Industrial and Urban America, 1870-1900",4,Independent application A: immigration and internal migration,Independent application A,immigration and internal migration,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l05,ma-g9-social-studies,9,social-studies,17,2,"Industrial and Urban America, 1870-1900",5,Concept model B: western settlement and federal Indian policy,Concept model B,western settlement and federal Indian policy,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l06,ma-g9-social-studies,9,social-studies,18,2,"Industrial and Urban America, 1870-1900",6,Guided practice B: social and cultural change,Guided practice B,social and cultural change,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l07,ma-g9-social-studies,9,social-studies,19,2,"Industrial and Urban America, 1870-1900",7,Investigation or close reading: the Second Industrial Revolution,Investigation or close reading,the Second Industrial Revolution,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l08,ma-g9-social-studies,9,social-studies,20,2,"Industrial and Urban America, 1870-1900",8,Reteach and varied practice: labor's response to industrial growth,Reteach and varied practice,labor's response to industrial growth,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l09,ma-g9-social-studies,9,social-studies,21,2,"Industrial and Urban America, 1870-1900",9,Performance task build: urbanization,Performance task build,urbanization,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l10,ma-g9-social-studies,9,social-studies,22,2,"Industrial and Urban America, 1870-1900",10,Synthesis and review: immigration and internal migration,Synthesis and review,immigration and internal migration,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l11,ma-g9-social-studies,9,social-studies,23,2,"Industrial and Urban America, 1870-1900",11,Unit assessment: western settlement and federal Indian policy,Unit assessment,western settlement and federal Indian policy,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u02-l12,ma-g9-social-studies,9,social-studies,24,2,"Industrial and Urban America, 1870-1900",12,Correction and reflection: social and cultural change,Correction and reflection,social and cultural change,USHG 6.1.1;USHG 6.1.2;USHG 6.1.3;USHG 6.1.4;P2
ma-g9-social-studies-u03-l01,ma-g9-social-studies,9,social-studies,25,3,Becoming a World Power and World War I,1,Launch and diagnostic: growth of United States global power,Launch and diagnostic,growth of United States global power,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l02,ma-g9-social-studies,9,social-studies,26,3,Becoming a World Power and World War I,2,Concept model A: causes of World War I and American entry,Concept model A,causes of World War I and American entry,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l03,ma-g9-social-studies,9,social-studies,27,3,Becoming a World Power and World War I,3,Guided practice A: the domestic impact of World War I,Guided practice A,the domestic impact of World War I,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l04,ma-g9-social-studies,9,social-studies,28,3,Becoming a World Power and World War I,4,Independent application A: wartime civil liberties and dissent,Independent application A,wartime civil liberties and dissent,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l05,ma-g9-social-studies,9,social-studies,29,3,Becoming a World Power and World War I,5,Concept model B: the Fourteen Points and the peace settlement,Concept model B,the Fourteen Points and the peace settlement,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l06,ma-g9-social-studies,9,social-studies,30,3,Becoming a World Power and World War I,6,Guided practice B: the League of Nations debate,Guided practice B,the League of Nations debate,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l07,ma-g9-social-studies,9,social-studies,31,3,Becoming a World Power and World War I,7,Investigation or close reading: growth of United States global power,Investigation or close reading,growth of United States global power,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l08,ma-g9-social-studies,9,social-studies,32,3,Becoming a World Power and World War I,8,Reteach and varied practice: causes of World War I and American entry,Reteach and varied practice,causes of World War I and American entry,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l09,ma-g9-social-studies,9,social-studies,33,3,Becoming a World Power and World War I,9,Performance task build: the domestic impact of World War I,Performance task build,the domestic impact of World War I,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l10,ma-g9-social-studies,9,social-studies,34,3,Becoming a World Power and World War I,10,Synthesis and review: wartime civil liberties and dissent,Synthesis and review,wartime civil liberties and dissent,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l11,ma-g9-social-studies,9,social-studies,35,3,Becoming a World Power and World War I,11,Unit assessment: the Fourteen Points and the peace settlement,Unit assessment,the Fourteen Points and the peace settlement,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u03-l12,ma-g9-social-studies,9,social-studies,36,3,Becoming a World Power and World War I,12,Correction and reflection: the League of Nations debate,Correction and reflection,the League of Nations debate,USHG 6.2.1;USHG 6.2.2;USHG 6.2.3;USHG 6.2.4;P3
ma-g9-social-studies-u04-l01,ma-g9-social-studies,9,social-studies,37,4,The Progressive Era,1,Launch and diagnostic: conditions that prompted reform,Launch and diagnostic,conditions that prompted reform,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l02,ma-g9-social-studies,9,social-studies,38,4,The Progressive Era,2,Concept model A: Progressive social and political reform,Concept model A,Progressive social and political reform,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l03,ma-g9-social-studies,9,social-studies,39,4,The Progressive Era,3,Guided practice A: regulation and the role of government,Guided practice A,regulation and the role of government,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l04,ma-g9-social-studies,9,social-studies,40,4,The Progressive Era,4,Independent application A: women's suffrage,Independent application A,women's suffrage,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l05,ma-g9-social-studies,9,social-studies,41,4,The Progressive Era,5,Concept model B: exclusions and limits of Progressive reform,Concept model B,exclusions and limits of Progressive reform,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l06,ma-g9-social-studies,9,social-studies,42,4,The Progressive Era,6,Guided practice B: evaluating reform outcomes,Guided practice B,evaluating reform outcomes,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l07,ma-g9-social-studies,9,social-studies,43,4,The Progressive Era,7,Investigation or close reading: conditions that prompted reform,Investigation or close reading,conditions that prompted reform,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l08,ma-g9-social-studies,9,social-studies,44,4,The Progressive Era,8,Reteach and varied practice: Progressive social and political reform,Reteach and varied practice,Progressive social and political reform,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l09,ma-g9-social-studies,9,social-studies,45,4,The Progressive Era,9,Performance task build: regulation and the role of government,Performance task build,regulation and the role of government,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l10,ma-g9-social-studies,9,social-studies,46,4,The Progressive Era,10,Synthesis and review: women's suffrage,Synthesis and review,women's suffrage,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l11,ma-g9-social-studies,9,social-studies,47,4,The Progressive Era,11,Unit assessment: exclusions and limits of Progressive reform,Unit assessment,exclusions and limits of Progressive reform,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u04-l12,ma-g9-social-studies,9,social-studies,48,4,The Progressive Era,12,Correction and reflection: evaluating reform outcomes,Correction and reflection,evaluating reform outcomes,USHG 6.3.1;USHG 6.3.2;USHG 6.3.3;USHG 6.3.4;P4
ma-g9-social-studies-u05-l01,ma-g9-social-studies,9,social-studies,49,5,"Boom, Depression, and the New Deal",1,Launch and diagnostic: social and cultural change in the 1920s,Launch and diagnostic,social and cultural change in the 1920s,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l02,ma-g9-social-studies,9,social-studies,50,5,"Boom, Depression, and the New Deal",2,Concept model A: causes of the Great Depression,Concept model A,causes of the Great Depression,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l03,ma-g9-social-studies,9,social-studies,51,5,"Boom, Depression, and the New Deal",3,Guided practice A: human consequences of the Depression,Guided practice A,human consequences of the Depression,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l04,ma-g9-social-studies,9,social-studies,52,5,"Boom, Depression, and the New Deal",4,Independent application A: New Deal programs and coalitions,Independent application A,New Deal programs and coalitions,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l05,ma-g9-social-studies,9,social-studies,53,5,"Boom, Depression, and the New Deal",5,Concept model B: debates over New Deal effects,Concept model B,debates over New Deal effects,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l06,ma-g9-social-studies,9,social-studies,54,5,"Boom, Depression, and the New Deal",6,Guided practice B: the changing role of the federal government,Guided practice B,the changing role of the federal government,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l07,ma-g9-social-studies,9,social-studies,55,5,"Boom, Depression, and the New Deal",7,Investigation or close reading: social and cultural change in the 1920s,Investigation or close reading,social and cultural change in the 1920s,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l08,ma-g9-social-studies,9,social-studies,56,5,"Boom, Depression, and the New Deal",8,Reteach and varied practice: causes of the Great Depression,Reteach and varied practice,causes of the Great Depression,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l09,ma-g9-social-studies,9,social-studies,57,5,"Boom, Depression, and the New Deal",9,Performance task build: human consequences of the Depression,Performance task build,human consequences of the Depression,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l10,ma-g9-social-studies,9,social-studies,58,5,"Boom, Depression, and the New Deal",10,Synthesis and review: New Deal programs and coalitions,Synthesis and review,New Deal programs and coalitions,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l11,ma-g9-social-studies,9,social-studies,59,5,"Boom, Depression, and the New Deal",11,Unit assessment: debates over New Deal effects,Unit assessment,debates over New Deal effects,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u05-l12,ma-g9-social-studies,9,social-studies,60,5,"Boom, Depression, and the New Deal",12,Correction and reflection: the changing role of the federal government,Correction and reflection,the changing role of the federal government,USHG 7.1.1;USHG 7.1.2;USHG 7.1.3;P2
ma-g9-social-studies-u06-l01,ma-g9-social-studies,9,social-studies,61,6,World War II,1,Launch and diagnostic: origins of American involvement,Launch and diagnostic,origins of American involvement,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l02,ma-g9-social-studies,9,social-studies,62,6,World War II,2,Concept model A: mobilization and the home front,Concept model A,mobilization and the home front,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l03,ma-g9-social-studies,9,social-studies,63,6,World War II,3,Guided practice A: Japanese American incarceration,Guided practice A,Japanese American incarceration,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l04,ma-g9-social-studies,9,social-studies,64,6,World War II,4,Independent application A: the geography and course of the war,Independent application A,the geography and course of the war,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l05,ma-g9-social-studies,9,social-studies,65,6,World War II,5,Concept model B: the Holocaust and the American response,Concept model B,the Holocaust and the American response,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l06,ma-g9-social-studies,9,social-studies,66,6,World War II,6,Guided practice B: the war's end and atomic weapons,Guided practice B,the war's end and atomic weapons,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l07,ma-g9-social-studies,9,social-studies,67,6,World War II,7,Investigation or close reading: origins of American involvement,Investigation or close reading,origins of American involvement,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l08,ma-g9-social-studies,9,social-studies,68,6,World War II,8,Reteach and varied practice: mobilization and the home front,Reteach and varied practice,mobilization and the home front,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l09,ma-g9-social-studies,9,social-studies,69,6,World War II,9,Performance task build: Japanese American incarceration,Performance task build,Japanese American incarceration,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l10,ma-g9-social-studies,9,social-studies,70,6,World War II,10,Synthesis and review: the geography and course of the war,Synthesis and review,the geography and course of the war,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l11,ma-g9-social-studies,9,social-studies,71,6,World War II,11,Unit assessment: the Holocaust and the American response,Unit assessment,the Holocaust and the American response,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u06-l12,ma-g9-social-studies,9,social-studies,72,6,World War II,12,Correction and reflection: the war's end and atomic weapons,Correction and reflection,the war's end and atomic weapons,USHG 7.2.1;USHG 7.2.2;USHG 7.2.3;USHG 7.2.4;P1
ma-g9-social-studies-u07-l01,ma-g9-social-studies,9,social-studies,73,7,Cold War and Postwar America,1,Launch and diagnostic: origins of the Cold War,Launch and diagnostic,origins of the Cold War,USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l02,ma-g9-social-studies,9,social-studies,74,7,Cold War and Postwar America,2,Concept model A: containment and global conflicts,Concept model A,containment and global conflicts,USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l03,ma-g9-social-studies,9,social-studies,75,7,Cold War and Postwar America,3,Guided practice A: anticommunism at home,Guided practice A,anticommunism at home,USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l04,ma-g9-social-studies,9,social-studies,76,7,Cold War and Postwar America,4,Independent application A: postwar prosperity and suburbanization,Independent application A,postwar prosperity and suburbanization,USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l05,ma-g9-social-studies,9,social-studies,77,7,Cold War and Postwar America,5,Concept model B: demographic and economic change,Concept model B,demographic and economic change,USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l06,ma-g9-social-studies,9,social-studies,78,7,Cold War and Postwar America,6,"Guided practice B: the Great Society, Vietnam-era controversies, Watergate, and the environmental movement",Guided practice B,"the Great Society, Vietnam-era controversies, Watergate, and the environmental movement",USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l07,ma-g9-social-studies,9,social-studies,79,7,Cold War and Postwar America,7,Investigation or close reading: origins of the Cold War,Investigation or close reading,origins of the Cold War,USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l08,ma-g9-social-studies,9,social-studies,80,7,Cold War and Postwar America,8,Reteach and varied practice: containment and global conflicts,Reteach and varied practice,containment and global conflicts,USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l09,ma-g9-social-studies,9,social-studies,81,7,Cold War and Postwar America,9,Performance task build: anticommunism at home,Performance task build,anticommunism at home,USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l10,ma-g9-social-studies,9,social-studies,82,7,Cold War and Postwar America,10,Synthesis and review: postwar prosperity and suburbanization,Synthesis and review,postwar prosperity and suburbanization,USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l11,ma-g9-social-studies,9,social-studies,83,7,Cold War and Postwar America,11,Unit assessment: demographic and economic change,Unit assessment,demographic and economic change,USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u07-l12,ma-g9-social-studies,9,social-studies,84,7,Cold War and Postwar America,12,"Correction and reflection: the Great Society, Vietnam-era controversies, Watergate, and the environmental movement",Correction and reflection,"the Great Society, Vietnam-era controversies, Watergate, and the environmental movement",USHG 8.1.1;USHG 8.1.2;USHG 8.1.3;USHG 8.2.1;USHG 8.2.2;USHG 8.2.3;USHG 8.2.4;P2
ma-g9-social-studies-u08-l01,ma-g9-social-studies,9,social-studies,85,8,Civil Rights in the Post-World War II Era,1,Launch and diagnostic: origins of the civil rights movement,Launch and diagnostic,origins of the civil rights movement,USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l02,ma-g9-social-studies,9,social-studies,86,8,Civil Rights in the Post-World War II Era,2,"Concept model A: law, courts, and desegregation",Concept model A,"law, courts, and desegregation",USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l03,ma-g9-social-studies,9,social-studies,87,8,Civil Rights in the Post-World War II Era,3,"Guided practice A: organizing, protest, and strategy",Guided practice A,"organizing, protest, and strategy",USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l04,ma-g9-social-studies,9,social-studies,88,8,Civil Rights in the Post-World War II Era,4,Independent application A: federal civil rights legislation,Independent application A,federal civil rights legislation,USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l05,ma-g9-social-studies,9,social-studies,89,8,Civil Rights in the Post-World War II Era,5,Concept model B: expanding movements for rights,Concept model B,expanding movements for rights,USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l06,ma-g9-social-studies,9,social-studies,90,8,Civil Rights in the Post-World War II Era,6,Guided practice B: contested legacies and continuing debates,Guided practice B,contested legacies and continuing debates,USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l07,ma-g9-social-studies,9,social-studies,91,8,Civil Rights in the Post-World War II Era,7,Investigation or close reading: origins of the civil rights movement,Investigation or close reading,origins of the civil rights movement,USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l08,ma-g9-social-studies,9,social-studies,92,8,Civil Rights in the Post-World War II Era,8,"Reteach and varied practice: law, courts, and desegregation",Reteach and varied practice,"law, courts, and desegregation",USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l09,ma-g9-social-studies,9,social-studies,93,8,Civil Rights in the Post-World War II Era,9,"Performance task build: organizing, protest, and strategy",Performance task build,"organizing, protest, and strategy",USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l10,ma-g9-social-studies,9,social-studies,94,8,Civil Rights in the Post-World War II Era,10,Synthesis and review: federal civil rights legislation,Synthesis and review,federal civil rights legislation,USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l11,ma-g9-social-studies,9,social-studies,95,8,Civil Rights in the Post-World War II Era,11,Unit assessment: expanding movements for rights,Unit assessment,expanding movements for rights,USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u08-l12,ma-g9-social-studies,9,social-studies,96,8,Civil Rights in the Post-World War II Era,12,Correction and reflection: contested legacies and continuing debates,Correction and reflection,contested legacies and continuing debates,USHG 8.3.1;USHG 8.3.2;USHG 8.3.3;USHG 8.3.4;USHG 8.3.5;P3
ma-g9-social-studies-u09-l01,ma-g9-social-studies,9,social-studies,97,9,America in a New Global Age,1,Launch and diagnostic: globalization and the United States economy,Launch and diagnostic,globalization and the United States economy,USHG 9.1.1;USHG 9.1.2;USHG 9.2.1;USHG 9.2.2;USHG 9.3.1;P3;P4
ma-g9-social-studies-u09-l02,ma-g9-social-studies,9,social-studies,98,9,America in a New Global Age,2,"Concept model A: domestic political realignment, religion in politics, and partisanship",Concept model A,"domestic political realignment, religion in politics, and partisanship",USHG 9.1.1;USHG 9.1.2;USHG 9.2.1;USHG 9.2.2;USHG 9.3.1;P3;P4
ma-g9-social-studies-u09-l03,ma-g9-social-studies,9,social-studies,99,9,America in a New Global Age,3,Guided practice A: America's changing role in the world after the Cold War,Guided practice A,America's changing role in the world after the Cold War,USHG 9.1.1;USHG 9.1.2;USHG 9.2.1;USHG 9.2.2;USHG 9.3.1;P3;P4
ma-g9-social-studies-u09-l04,ma-g9-social-studies,9,social-studies,100,9,America in a New Global Age,4,"Independent application A: September 11, 2001 and responses to terrorism",Independent application A,"September 11, 2001 and responses to terrorism",USHG 9.1.1;USHG 9.1.2;USHG 9.2.1;USHG 9.2.2;USHG 9.3.1;P3;P4
ma-g9-social-studies-u09-l05,ma-g9-social-studies,9,social-studies,101,9,America in a New Global Age,5,Concept model B: contemporary policy debates,Concept model B,contemporary policy debates,USHG 9.1.1;USHG 9.1.2;USHG 9.2.1;USHG 9.2.2;USHG 9.3.1;P3;P4
ma-g9-social-studies-u09-l06,ma-g9-social-studies,9,social-studies,102,9,America in a New Global Age,6,Guided practice B: historical argument and public issues,Guided practice B,historical argument and public issues,USHG 9.1.1;USHG 9.1.2;USHG 9.2.1;USHG 9.2.2;USHG 9.3.1;P3;P4
