course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
20,10,2,2,"PF2 — Buying Goods and Services: Contracts, Disclosures, and Consumer Protection",ma-g10-financial-literacy-u02-l10,Unit performance task,the role of government agencies in consumer protection
21,11,1,3,"PF3 — Budgeting and Saving: Banking Systems, Interest Mechanics, and Inflation",ma-g10-financial-literacy-u03-l01,Launch and diagnostic,account types and their fee and access structures
22,11,2,3,"PF3 — Budgeting and Saving: Banking Systems, Interest Mechanics, and Inflation",ma-g10-financial-literacy-u03-l02,Concept model A,compounding frequency and its effect
23,12,1,3,"PF3 — Budgeting and Saving: Banking Systems, Interest Mechanics, and Inflation",ma-g10-financial-literacy-u03-l03,Concept model B,nominal versus real value under inflation
24,12,2,3,"PF3 — Budgeting and Saving: Banking Systems, Interest Mechanics, and Inflation",ma-g10-financial-literacy-u03-l04,Guided practice,automating saving and paying yourself first
25,13,1,3,"PF3 — Budgeting and Saving: Banking Systems, Interest Mechanics, and Inflation",ma-g10-financial-literacy-u03-l05,Applied simulation,irregular and seasonal income planning
26,13,2,3,"PF3 — Budgeting and Saving: Banking Systems, Interest Mechanics, and Inflation",ma-g10-financial-literacy-u03-l06,Comparison and analysis,comparing savings vehicles on stated terms
27,14,1,3,"PF3 — Budgeting and Saving: Banking Systems, Interest Mechanics, and Inflation",ma-g10-financial-literacy-u03-l07,Error and misconception analysis,account types and their fee and access structures
28,14,2,3,"PF3 — Budgeting and Saving: Banking Systems, Interest Mechanics, and Inflation",ma-g10-financial-literacy-u03-l08,Transfer to a new case,compounding frequency and its effect
29,15,1,3,"PF3 — Budgeting and Saving: Banking Systems, Interest Mechanics, and Inflation",ma-g10-financial-literacy-u03-l09,Synthesis and review,nominal versus real value under inflation
30,15,2,3,"PF3 — Budgeting and Saving: Banking Systems, Interest Mechanics, and Inflation",ma-g10-financial-literacy-u03-l10,Unit performance task,automating saving and paying yourself first
31,16,1,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l01,Launch and diagnostic,how credit reporting and scoring work
32,16,2,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l02,Concept model A,"secured, unsecured, revolving, and installment credit"
33,17,1,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l03,Concept model B,amortisation: how a payment splits into interest and principal
34,17,2,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l04,Guided practice,"the FAFSA process, dependency, and aid packaging"
35,18,1,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l05,Applied simulation,"subsidised, unsubsidised, and private loan terms"
36,18,2,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l06,Comparison and analysis,predatory lending patterns and warning signs
37,19,1,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l07,Error and misconception analysis,how credit reporting and scoring work
38,19,2,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l08,Transfer to a new case,"secured, unsecured, revolving, and installment credit"
39,20,1,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l09,Synthesis and review,amortisation: how a payment splits into interest and principal
40,20,2,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l10,Unit performance task,"the FAFSA process, dependency, and aid packaging"
41,21,1,4,"PF4 — Using Credit: Credit Systems, Scores, and Financing Aid",ma-g10-financial-literacy-u04-l11,Defense and extension,"subsidised, unsubsidised, and private loan terms"
42,21,2,5,"PF5 — Financial Investing: Markets, Vehicles, and Regulation",ma-g10-financial-literacy-u05-l01,Launch and diagnostic,"stocks, bonds, funds, and index vehicles"
43,22,1,5,"PF5 — Financial Investing: Markets, Vehicles, and Regulation",ma-g10-financial-literacy-u05-l02,Concept model A,"fees, expense ratios, and their long-run drag"
44,22,2,5,"PF5 — Financial Investing: Markets, Vehicles, and Regulation",ma-g10-financial-literacy-u05-l03,Concept model B,diversification across and within asset classes
45,23,1,5,"PF5 — Financial Investing: Markets, Vehicles, and Regulation",ma-g10-financial-literacy-u05-l04,Guided practice,the role of government agencies and disclosure rules
46,23,2,5,"PF5 — Financial Investing: Markets, Vehicles, and Regulation",ma-g10-financial-literacy-u05-l05,Applied simulation,tax-advantaged account types compared
47,24,1,5,"PF5 — Financial Investing: Markets, Vehicles, and Regulation",ma-g10-financial-literacy-u05-l06,Comparison and analysis,investment fraud patterns and red flags
48,24,2,5,"PF5 — Financial Investing: Markets, Vehicles, and Regulation",ma-g10-financial-literacy-u05-l07,Error and misconception analysis,"stocks, bonds, funds, and index vehicles"
49,25,1,5,"PF5 — Financial Investing: Markets, Vehicles, and Regulation",ma-g10-financial-literacy-u05-l08,Transfer to a new case,"fees, expense ratios, and their long-run drag"
50,25,2,5,"PF5 — Financial Investing: Markets, Vehicles, and Regulation",ma-g10-financial-literacy-u05-l09,Synthesis and review,diversification across and within asset classes
51,26,1,5,"PF5 — Financial Investing: Markets, Vehicles, and Regulation",ma-g10-financial-literacy-u05-l10,Unit performance task,the role of government agencies and disclosure rules
52,26,2,6,PF6 — Protecting and Insuring: Insurance Structures and Identity Protection,ma-g10-financial-literacy-u06-l01,Launch and diagnostic,"health, auto, renters, disability, and life coverage in outline"
53,27,1,6,PF6 — Protecting and Insuring: Insurance Structures and Identity Protection,ma-g10-financial-literacy-u06-l02,Concept model A,"premium, deductible, co-pay, and coverage limit interacting"
54,27,2,6,PF6 — Protecting and Insuring: Insurance Structures and Identity Protection,ma-g10-financial-literacy-u06-l03,Concept model B,matching coverage level to actual exposure
55,28,1,6,PF6 — Protecting and Insuring: Insurance Structures and Identity Protection,ma-g10-financial-literacy-u06-l04,Guided practice,how a claim process works
56,28,2,6,PF6 — Protecting and Insuring: Insurance Structures and Identity Protection,ma-g10-financial-literacy-u06-l05,Applied simulation,identity theft response steps
57,29,1,6,PF6 — Protecting and Insuring: Insurance Structures and Identity Protection,ma-g10-financial-literacy-u06-l06,Comparison and analysis,evaluating an insurance offer without a sales frame
58,29,2,6,PF6 — Protecting and Insuring: Insurance Structures and Identity Protection,ma-g10-financial-literacy-u06-l07,Error and misconception analysis,"health, auto, renters, disability, and life coverage in outline"
59,30,1,6,PF6 — Protecting and Insuring: Insurance Structures and Identity Protection,ma-g10-financial-literacy-u06-l08,Transfer to a new case,"premium, deductible, co-pay, and coverage limit interacting"
60,30,2,6,PF6 — Protecting and Insuring: Insurance Structures and Identity Protection,ma-g10-financial-literacy-u06-l09,Synthesis and review,matching coverage level to actual exposure
61,31,1,6,PF6 — Protecting and Insuring: Insurance Structures and Identity Protection,ma-g10-financial-literacy-u06-l10,Unit performance task,how a claim process works
62,31,2,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l01,Launch and diagnostic,"progressive brackets, marginal versus effective rate"
63,32,1,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l02,Concept model A,payroll taxes and employer withholding
64,32,2,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l03,Concept model B,"W-4, W-2, 1099, and 1040 in outline"
65,33,1,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l04,Guided practice,standard deduction and common credits in outline
66,33,2,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l05,Applied simulation,state and local tax variation
67,34,1,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l06,Comparison and analysis,recordkeeping and filing-readiness
68,34,2,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l07,Error and misconception analysis,"progressive brackets, marginal versus effective rate"
69,35,1,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l08,Transfer to a new case,payroll taxes and employer withholding
70,35,2,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l09,Synthesis and review,"W-4, W-2, 1099, and 1040 in outline"
71,36,1,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l10,Unit performance task,standard deduction and common credits in outline
72,36,2,7,"PF7 — Paying Taxes: Tax Structure, Withholding, and Filing",ma-g10-financial-literacy-u07-l11,Defense and extension,state and local tax variation
