course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
29,15,1,3,PF3 — Budgeting and Saving: Running the Adult Budget,ma-g12-financial-literacy-u03-l09,Synthesis and review,emergency fund sizing and use
30,15,2,3,PF3 — Budgeting and Saving: Running the Adult Budget,ma-g12-financial-literacy-u03-l10,Unit performance task,paying down debt while saving
31,16,1,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l01,Launch and diagnostic,completing a simulated aid application workflow
32,16,2,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l02,Concept model A,setting a personal borrowing limit before shopping
33,17,1,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l03,Concept model B,comparing full financing packages
34,17,2,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l04,Guided practice,repayment projection against expected income
35,18,1,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l05,Applied simulation,building and protecting credit responsibly
36,18,2,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l06,Comparison and analysis,what to do when repayment becomes difficult
37,19,1,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l07,Error and misconception analysis,completing a simulated aid application workflow
38,19,2,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l08,Transfer to a new case,setting a personal borrowing limit before shopping
39,20,1,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l09,Synthesis and review,comparing full financing packages
40,20,2,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l10,Unit performance task,repayment projection against expected income
41,21,1,4,PF4 — Using Credit: Financing Adult Life and Postsecondary Costs,ma-g12-financial-literacy-u04-l11,Defense and extension,building and protecting credit responsibly
42,21,2,5,PF5 — Financial Investing: Long-Horizon Investing as an Adult,ma-g12-financial-literacy-u05-l01,Launch and diagnostic,employer retirement plans and matching in outline
43,22,1,5,PF5 — Financial Investing: Long-Horizon Investing as an Adult,ma-g12-financial-literacy-u05-l02,Concept model A,setting a contribution rate inside a real budget
44,22,2,5,PF5 — Financial Investing: Long-Horizon Investing as an Adult,ma-g12-financial-literacy-u05-l03,Concept model B,allocation for a decades-long horizon
45,23,1,5,PF5 — Financial Investing: Long-Horizon Investing as an Adult,ma-g12-financial-literacy-u05-l04,Guided practice,a written rule for market declines
46,23,2,5,PF5 — Financial Investing: Long-Horizon Investing as an Adult,ma-g12-financial-literacy-u05-l05,Applied simulation,fee awareness across account choices
47,24,1,5,PF5 — Financial Investing: Long-Horizon Investing as an Adult,ma-g12-financial-literacy-u05-l06,Comparison and analysis,avoiding fraud and high-pressure offers
48,24,2,5,PF5 — Financial Investing: Long-Horizon Investing as an Adult,ma-g12-financial-literacy-u05-l07,Error and misconception analysis,employer retirement plans and matching in outline
49,25,1,5,PF5 — Financial Investing: Long-Horizon Investing as an Adult,ma-g12-financial-literacy-u05-l08,Transfer to a new case,setting a contribution rate inside a real budget
50,25,2,5,PF5 — Financial Investing: Long-Horizon Investing as an Adult,ma-g12-financial-literacy-u05-l09,Synthesis and review,allocation for a decades-long horizon
51,26,1,5,PF5 — Financial Investing: Long-Horizon Investing as an Adult,ma-g12-financial-literacy-u05-l10,Unit performance task,a written rule for market declines
52,26,2,6,PF6 — Protecting and Insuring: Protecting an Adult Household,ma-g12-financial-literacy-u06-l01,Launch and diagnostic,coverage an independent adult typically needs
53,27,1,6,PF6 — Protecting and Insuring: Protecting an Adult Household,ma-g12-financial-literacy-u06-l02,Concept model A,enrolment timing and coverage gaps
54,27,2,6,PF6 — Protecting and Insuring: Protecting an Adult Household,ma-g12-financial-literacy-u06-l03,Concept model B,reserve targets alongside coverage
55,28,1,6,PF6 — Protecting and Insuring: Protecting an Adult Household,ma-g12-financial-literacy-u06-l04,Guided practice,securing documents and accounts safely
56,28,2,6,PF6 — Protecting and Insuring: Protecting an Adult Household,ma-g12-financial-literacy-u06-l05,Applied simulation,"identity-incident response, step by step"
57,29,1,6,PF6 — Protecting and Insuring: Protecting an Adult Household,ma-g12-financial-literacy-u06-l06,Comparison and analysis,reviewing protection after a life change
58,29,2,6,PF6 — Protecting and Insuring: Protecting an Adult Household,ma-g12-financial-literacy-u06-l07,Error and misconception analysis,coverage an independent adult typically needs
59,30,1,6,PF6 — Protecting and Insuring: Protecting an Adult Household,ma-g12-financial-literacy-u06-l08,Transfer to a new case,enrolment timing and coverage gaps
60,30,2,6,PF6 — Protecting and Insuring: Protecting an Adult Household,ma-g12-financial-literacy-u06-l09,Synthesis and review,reserve targets alongside coverage
61,31,1,6,PF6 — Protecting and Insuring: Protecting an Adult Household,ma-g12-financial-literacy-u06-l10,Unit performance task,securing documents and accounts safely
62,31,2,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l01,Launch and diagnostic,completing a simulated tax return from fictional documents
63,32,1,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l02,Concept model A,withholding accuracy and adjusting it
64,32,2,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l03,Concept model B,integrating all seven expectations into one year
65,33,1,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l04,Guided practice,documenting assumptions and tradeoffs
66,33,2,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l05,Applied simulation,stress-testing the plan against a shock
67,34,1,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l06,Comparison and analysis,presenting and defending the capstone plan
68,34,2,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l07,Error and misconception analysis,completing a simulated tax return from fictional documents
69,35,1,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l08,Transfer to a new case,withholding accuracy and adjusting it
70,35,2,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l09,Synthesis and review,integrating all seven expectations into one year
71,36,1,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l10,Unit performance task,documenting assumptions and tradeoffs
72,36,2,7,PF7 — Paying Taxes: Taxes and the Simulated Adult Finance Capstone,ma-g12-financial-literacy-u07-l11,Defense and extension,stress-testing the plan against a shock
