week,day,period_1,period_2,period_3,period_4,period_5,period_6
15,Tuesday,ma-g7-mathematics-u04-l18,ma-g7-english-language-arts-u04-l18,ma-g7-social-studies-u04-l07,ma-g7-arts-and-music-u03-l05,ma-g7-technology-u03-l03,
15,Wednesday,ma-g7-mathematics-u05-l01,ma-g7-english-language-arts-u05-l01,ma-g7-science-u04-l08,ma-g7-physical-education-u04-l08,ma-g7-health-u03-l03,
15,Thursday,ma-g7-mathematics-u05-l02,ma-g7-english-language-arts-u05-l02,ma-g7-social-studies-u04-l08,ma-g7-arts-and-music-u03-l06,ma-g7-ready-for-life-u03-l03,
15,Friday,ma-g7-mathematics-u05-l03,ma-g7-english-language-arts-u05-l03,ma-g7-science-u04-l09,ma-g7-social-studies-u04-l09,ma-g7-physical-education-u04-l09,
16,Monday,ma-g7-mathematics-u05-l04,ma-g7-english-language-arts-u05-l04,ma-g7-science-u04-l10,ma-g7-physical-education-u04-l10,ma-g7-financial-literacy-u03-l04,
16,Tuesday,ma-g7-mathematics-u05-l05,ma-g7-english-language-arts-u05-l05,ma-g7-social-studies-u04-l10,ma-g7-arts-and-music-u03-l07,ma-g7-technology-u03-l04,
16,Wednesday,ma-g7-mathematics-u05-l06,ma-g7-english-language-arts-u05-l06,ma-g7-science-u04-l11,ma-g7-physical-education-u04-l11,ma-g7-health-u03-l04,
16,Thursday,ma-g7-mathematics-u05-l07,ma-g7-english-language-arts-u05-l07,ma-g7-social-studies-u04-l11,ma-g7-arts-and-music-u03-l08,ma-g7-ready-for-life-u03-l04,
16,Friday,ma-g7-mathematics-u05-l08,ma-g7-english-language-arts-u05-l08,ma-g7-science-u04-l12,ma-g7-social-studies-u04-l12,ma-g7-physical-education-u04-l12,
17,Monday,ma-g7-mathematics-u05-l09,ma-g7-english-language-arts-u05-l09,ma-g7-science-u05-l01,ma-g7-physical-education-u05-l01,ma-g7-financial-literacy-u03-l05,
17,Tuesday,ma-g7-mathematics-u05-l10,ma-g7-english-language-arts-u05-l10,ma-g7-social-studies-u05-l01,ma-g7-arts-and-music-u03-l09,ma-g7-technology-u03-l05,
17,Wednesday,ma-g7-mathematics-u05-l11,ma-g7-english-language-arts-u05-l11,ma-g7-science-u05-l02,ma-g7-physical-education-u05-l02,ma-g7-health-u03-l05,
17,Thursday,ma-g7-mathematics-u05-l12,ma-g7-english-language-arts-u05-l12,ma-g7-social-studies-u05-l02,ma-g7-arts-and-music-u03-l10,ma-g7-ready-for-life-u03-l05,
17,Friday,ma-g7-mathematics-u05-l13,ma-g7-english-language-arts-u05-l13,ma-g7-science-u05-l03,ma-g7-social-studies-u05-l03,ma-g7-physical-education-u05-l03,
18,Monday,ma-g7-mathematics-u05-l14,ma-g7-english-language-arts-u05-l14,ma-g7-science-u05-l04,ma-g7-physical-education-u05-l04,ma-g7-financial-literacy-u03-l06,
18,Tuesday,ma-g7-mathematics-u05-l15,ma-g7-english-language-arts-u05-l15,ma-g7-social-studies-u05-l04,ma-g7-arts-and-music-u03-l11,ma-g7-technology-u03-l06,
18,Wednesday,ma-g7-mathematics-u05-l16,ma-g7-english-language-arts-u05-l16,ma-g7-science-u05-l05,ma-g7-physical-education-u05-l05,ma-g7-health-u03-l06,
18,Thursday,ma-g7-mathematics-u05-l17,ma-g7-english-language-arts-u05-l17,ma-g7-social-studies-u05-l05,ma-g7-arts-and-music-u03-l12,ma-g7-ready-for-life-u03-l06,
18,Friday,ma-g7-mathematics-u05-l18,ma-g7-english-language-arts-u05-l18,ma-g7-science-u05-l06,ma-g7-social-studies-u05-l06,ma-g7-physical-education-u05-l06,
19,Monday,ma-g7-mathematics-u06-l01,ma-g7-english-language-arts-u06-l01,ma-g7-science-u05-l07,ma-g7-physical-education-u05-l07,ma-g7-financial-literacy-u04-l01,
19,Tuesday,ma-g7-mathematics-u06-l02,ma-g7-english-language-arts-u06-l02,ma-g7-social-studies-u05-l07,ma-g7-arts-and-music-u04-l01,ma-g7-technology-u04-l01,
19,Wednesday,ma-g7-mathematics-u06-l03,ma-g7-english-language-arts-u06-l03,ma-g7-science-u05-l08,ma-g7-physical-education-u05-l08,ma-g7-health-u04-l01,
19,Thursday,ma-g7-mathematics-u06-l04,ma-g7-english-language-arts-u06-l04,ma-g7-social-studies-u05-l08,ma-g7-arts-and-music-u04-l02,ma-g7-ready-for-life-u04-l01,
19,Friday,ma-g7-mathematics-u06-l05,ma-g7-english-language-arts-u06-l05,ma-g7-science-u05-l09,ma-g7-social-studies-u05-l09,ma-g7-physical-education-u05-l09,
20,Monday,ma-g7-mathematics-u06-l06,ma-g7-english-language-arts-u06-l06,ma-g7-science-u05-l10,ma-g7-physical-education-u05-l10,ma-g7-financial-literacy-u04-l02,
20,Tuesday,ma-g7-mathematics-u06-l07,ma-g7-english-language-arts-u06-l07,ma-g7-social-studies-u05-l10,ma-g7-arts-and-music-u04-l03,ma-g7-technology-u04-l02,
20,Wednesday,ma-g7-mathematics-u06-l08,ma-g7-english-language-arts-u06-l08,ma-g7-science-u05-l11,ma-g7-physical-education-u05-l11,ma-g7-health-u04-l02,
20,Thursday,ma-g7-mathematics-u06-l09,ma-g7-english-language-arts-u06-l09,ma-g7-social-studies-u05-l11,ma-g7-arts-and-music-u04-l04,ma-g7-ready-for-life-u04-l02,
20,Friday,ma-g7-mathematics-u06-l10,ma-g7-english-language-arts-u06-l10,ma-g7-science-u05-l12,ma-g7-social-studies-u05-l12,ma-g7-physical-education-u05-l12,
21,Monday,ma-g7-mathematics-u06-l11,ma-g7-english-language-arts-u06-l11,ma-g7-science-u06-l01,ma-g7-physical-education-u06-l01,ma-g7-financial-literacy-u04-l03,
21,Tuesday,ma-g7-mathematics-u06-l12,ma-g7-english-language-arts-u06-l12,ma-g7-social-studies-u06-l01,ma-g7-arts-and-music-u04-l05,ma-g7-technology-u04-l03,
21,Wednesday,ma-g7-mathematics-u06-l13,ma-g7-english-language-arts-u06-l13,ma-g7-science-u06-l02,ma-g7-physical-education-u06-l02,ma-g7-health-u04-l03,
21,Thursday,ma-g7-mathematics-u06-l14,ma-g7-english-language-arts-u06-l14,ma-g7-social-studies-u06-l02,ma-g7-arts-and-music-u04-l06,ma-g7-ready-for-life-u04-l03,
21,Friday,ma-g7-mathematics-u06-l15,ma-g7-english-language-arts-u06-l15,ma-g7-science-u06-l03,ma-g7-social-studies-u06-l03,ma-g7-physical-education-u06-l03,
22,Monday,ma-g7-mathematics-u06-l16,ma-g7-english-language-arts-u06-l16,ma-g7-science-u06-l04,ma-g7-physical-education-u06-l04,ma-g7-financial-literacy-u04-l04,
22,Tuesday,ma-g7-mathematics-u06-l17,ma-g7-english-language-arts-u06-l17,ma-g7-social-studies-u06-l04,ma-g7-arts-and-music-u04-l07,ma-g7-technology-u04-l04,
22,Wednesday,ma-g7-mathematics-u06-l18,ma-g7-english-language-arts-u06-l18,ma-g7-science-u06-l05,ma-g7-physical-education-u06-l05,ma-g7-health-u04-l04,
22,Thursday,ma-g7-mathematics-u07-l01,ma-g7-english-language-arts-u07-l01,ma-g7-social-studies-u06-l05,ma-g7-arts-and-music-u04-l08,ma-g7-ready-for-life-u04-l04,
22,Friday,ma-g7-mathematics-u07-l02,ma-g7-english-language-arts-u07-l02,ma-g7-science-u06-l06,ma-g7-social-studies-u06-l06,ma-g7-physical-education-u06-l06,
23,Monday,ma-g7-mathematics-u07-l03,ma-g7-english-language-arts-u07-l03,ma-g7-science-u06-l07,ma-g7-physical-education-u06-l07,ma-g7-financial-literacy-u04-l05,
23,Tuesday,ma-g7-mathematics-u07-l04,ma-g7-english-language-arts-u07-l04,ma-g7-social-studies-u06-l07,ma-g7-arts-and-music-u04-l09,ma-g7-technology-u04-l05,
23,Wednesday,ma-g7-mathematics-u07-l05,ma-g7-english-language-arts-u07-l05,ma-g7-science-u06-l08,ma-g7-physical-education-u06-l08,ma-g7-health-u04-l05,
23,Thursday,ma-g7-mathematics-u07-l06,ma-g7-english-language-arts-u07-l06,ma-g7-social-studies-u06-l08,ma-g7-arts-and-music-u04-l10,ma-g7-ready-for-life-u04-l05,
23,Friday,ma-g7-mathematics-u07-l07,ma-g7-english-language-arts-u07-l07,ma-g7-science-u06-l09,ma-g7-social-studies-u06-l09,ma-g7-physical-education-u06-l09,
24,Monday,ma-g7-mathematics-u07-l08,ma-g7-english-language-arts-u07-l08,ma-g7-science-u06-l10,ma-g7-physical-education-u06-l10,ma-g7-financial-literacy-u04-l06,
24,Tuesday,ma-g7-mathematics-u07-l09,ma-g7-english-language-arts-u07-l09,ma-g7-social-studies-u06-l10,ma-g7-arts-and-music-u04-l11,ma-g7-technology-u04-l06,
24,Wednesday,ma-g7-mathematics-u07-l10,ma-g7-english-language-arts-u07-l10,ma-g7-science-u06-l11,ma-g7-physical-education-u06-l11,ma-g7-health-u04-l06,
24,Thursday,ma-g7-mathematics-u07-l11,ma-g7-english-language-arts-u07-l11,ma-g7-social-studies-u06-l11,ma-g7-arts-and-music-u04-l12,ma-g7-ready-for-life-u04-l06,
24,Friday,ma-g7-mathematics-u07-l12,ma-g7-english-language-arts-u07-l12,ma-g7-science-u06-l12,ma-g7-social-studies-u06-l12,ma-g7-physical-education-u06-l12,
25,Monday,ma-g7-mathematics-u07-l13,ma-g7-english-language-arts-u07-l13,ma-g7-science-u07-l01,ma-g7-physical-education-u07-l01,ma-g7-financial-literacy-u05-l01,
25,Tuesday,ma-g7-mathematics-u07-l14,ma-g7-english-language-arts-u07-l14,ma-g7-social-studies-u07-l01,ma-g7-arts-and-music-u05-l01,ma-g7-technology-u05-l01,
25,Wednesday,ma-g7-mathematics-u07-l15,ma-g7-english-language-arts-u07-l15,ma-g7-science-u07-l02,ma-g7-physical-education-u07-l02,ma-g7-health-u05-l01,
25,Thursday,ma-g7-mathematics-u07-l16,ma-g7-english-language-arts-u07-l16,ma-g7-social-studies-u07-l02,ma-g7-arts-and-music-u05-l02,ma-g7-ready-for-life-u05-l01,
25,Friday,ma-g7-mathematics-u07-l17,ma-g7-english-language-arts-u07-l17,ma-g7-science-u07-l03,ma-g7-social-studies-u07-l03,ma-g7-physical-education-u07-l03,
26,Monday,ma-g7-mathematics-u07-l18,ma-g7-english-language-arts-u07-l18,ma-g7-science-u07-l04,ma-g7-physical-education-u07-l04,ma-g7-financial-literacy-u05-l02,
26,Tuesday,ma-g7-mathematics-u08-l01,ma-g7-english-language-arts-u08-l01,ma-g7-social-studies-u07-l04,ma-g7-arts-and-music-u05-l03,ma-g7-technology-u05-l02,
26,Wednesday,ma-g7-mathematics-u08-l02,ma-g7-english-language-arts-u08-l02,ma-g7-science-u07-l05,ma-g7-physical-education-u07-l05,ma-g7-health-u05-l02,
26,Thursday,ma-g7-mathematics-u08-l03,ma-g7-english-language-arts-u08-l03,ma-g7-social-studies-u07-l05,ma-g7-arts-and-music-u05-l04,ma-g7-ready-for-life-u05-l02,
26,Friday,ma-g7-mathematics-u08-l04,ma-g7-english-language-arts-u08-l04,ma-g7-science-u07-l06,ma-g7-social-studies-u07-l06,ma-g7-physical-education-u07-l06,
27,Monday,ma-g7-mathematics-u08-l05,ma-g7-english-language-arts-u08-l05,ma-g7-science-u07-l07,ma-g7-physical-education-u07-l07,ma-g7-financial-literacy-u05-l03,
27,Tuesday,ma-g7-mathematics-u08-l06,ma-g7-english-language-arts-u08-l06,ma-g7-social-studies-u07-l07,ma-g7-arts-and-music-u05-l05,ma-g7-technology-u05-l03,
27,Wednesday,ma-g7-mathematics-u08-l07,ma-g7-english-language-arts-u08-l07,ma-g7-science-u07-l08,ma-g7-physical-education-u07-l08,ma-g7-health-u05-l03,
27,Thursday,ma-g7-mathematics-u08-l08,ma-g7-english-language-arts-u08-l08,ma-g7-social-studies-u07-l08,ma-g7-arts-and-music-u05-l06,ma-g7-ready-for-life-u05-l03,
27,Friday,ma-g7-mathematics-u08-l09,ma-g7-english-language-arts-u08-l09,ma-g7-science-u07-l09,ma-g7-social-studies-u07-l09,ma-g7-physical-education-u07-l09,
28,Monday,ma-g7-mathematics-u08-l10,ma-g7-english-language-arts-u08-l10,ma-g7-science-u07-l10,ma-g7-physical-education-u07-l10,ma-g7-financial-literacy-u05-l04,
28,Tuesday,ma-g7-mathematics-u08-l11,ma-g7-english-language-arts-u08-l11,ma-g7-social-studies-u07-l10,ma-g7-arts-and-music-u05-l07,ma-g7-technology-u05-l04,
28,Wednesday,ma-g7-mathematics-u08-l12,ma-g7-english-language-arts-u08-l12,ma-g7-science-u07-l11,ma-g7-physical-education-u07-l11,ma-g7-health-u05-l04,
28,Thursday,ma-g7-mathematics-u08-l13,ma-g7-english-language-arts-u08-l13,ma-g7-social-studies-u07-l11,ma-g7-arts-and-music-u05-l08,ma-g7-ready-for-life-u05-l04,
28,Friday,ma-g7-mathematics-u08-l14,ma-g7-english-language-arts-u08-l14,ma-g7-science-u07-l12,ma-g7-social-studies-u07-l12,ma-g7-physical-education-u07-l12,
29,Monday,ma-g7-mathematics-u08-l15,ma-g7-english-language-arts-u08-l15,ma-g7-science-u08-l01,ma-g7-physical-education-u08-l01,ma-g7-financial-literacy-u05-l05,
29,Tuesday,ma-g7-mathematics-u08-l16,ma-g7-english-language-arts-u08-l16,ma-g7-social-studies-u08-l01,ma-g7-arts-and-music-u05-l09,ma-g7-technology-u05-l05,
29,Wednesday,ma-g7-mathematics-u08-l17,ma-g7-english-language-arts-u08-l17,ma-g7-science-u08-l02,ma-g7-physical-education-u08-l02,ma-g7-health-u05-l05,
29,Thursday,ma-g7-mathematics-u08-l18,ma-g7-english-language-arts-u08-l18,ma-g7-social-studies-u08-l02,ma-g7-arts-and-music-u05-l10,ma-g7-ready-for-life-u05-l05,
29,Friday,ma-g7-mathematics-u09-l01,ma-g7-english-language-arts-u09-l01,ma-g7-science-u08-l03,ma-g7-social-studies-u08-l03,ma-g7-physical-education-u08-l03,
30,Monday,ma-g7-mathematics-u09-l02,ma-g7-english-language-arts-u09-l02,ma-g7-science-u08-l04,ma-g7-physical-education-u08-l04,ma-g7-financial-literacy-u05-l06,
30,Tuesday,ma-g7-mathematics-u09-l03,ma-g7-english-language-arts-u09-l03,ma-g7-social-studies-u08-l04,ma-g7-arts-and-music-u05-l11,ma-g7-technology-u05-l06,
30,Wednesday,ma-g7-mathematics-u09-l04,ma-g7-english-language-arts-u09-l04,ma-g7-science-u08-l05,ma-g7-physical-education-u08-l05,ma-g7-health-u05-l06,
